stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0
 24-34,0,0,0,1.04,0,0,0,0,0,0,36.68,0,0,0,1.56,5.79,0,0,0,1.13
 36-46,0,0,0,2.38,0,0,0,0,0,0,15.06,0,0,0,0,8.75,0,9.6,0.77,0
 48-58,0,0,0,0.69,0,0,0.49,0,0,0,20.77,0,0,0,0,7.58,0,0,1.21,0
 60-70,0,2.63,0,6.69,0,0,0,0.99,0,0,39.51,0,0,0,0,15.48,0,0,2.85,0
 72-82,0,0,0,3.17,0,0,0,0,5.98,0,19.19,0,0.64,0,0,9.08,0,0,0,0.62
 84-94,0,1.3,0,0,0,0,0,0,0,0,30.14,0,0,0,0,4.3,0,0,0,1.27
 96-106,0.81,5.85,0,3.28,0,2.42,0.61,0.66,0,0.57,129.56,0,1.87,0,0.95,44.78,0.85,1.25,0,0
108-118,0,0,0.69,6.11,2.92,0,0.8,0,0,0,33.04,0.89,2.86,0.74,0,8.51,0,0,0,0
120,0,0,0,1.15,0,19.19,0,0,0,0,0,0,2.31,0,0,43.05,0,5.18,0,0
