stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.15,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,1.42,0,0,0,0,0,2.77,0,0,1.08,0,0
 24-34,17.5,0,0,0,0,0,0,8.93,0,0,0,0.64,1.94,0,0,3.86,0.83,0,0,0,0.97,0,2.37,0,0,1.31,0,3.2
 36-46,8.06,0,0,2,2.87,0,0,0,0,0,0,0,6.01,0,1.44,3.9,0.57,0,0,0,9.52,0,3.33,0,0.85,0.85,0,0
 48-58,7.4,0,0,1.68,2.79,1.26,0,0.59,0,0.46,0,0,10.2,0,0.63,24.56,0,0,0,0,1.83,0,3.57,0,0,5.42,0,0
 60-70,8.45,0,0,3.32,9.1,0,0,0,0,0,0,0,6.76,2.79,0.77,34.01,0,0,0,0,2.23,0,0,0,0,5.27,0,0
 72-82,1.46,0,0,3.77,2.66,1.63,0,0.84,0,0,0,0,5.59,0,1.64,30.12,0,0.74,0,0,0.57,0,2.77,0.62,0.5,17.83,0,0
 84-94,9.06,0,0,2.35,0,0,0,0,0,0,0,1.53,16.67,0,0,34.44,0,0,0,0,0.76,0.67,0,0,0,20.09,0,0
 96-106,1.71,0,0,13.09,2.16,4.22,0,3.29,0.6,2.73,0,3.66,5.36,0,0,13.29,0,0,0,4.1,5.16,0,0,0,1.22,5.03,0.89,0
108-118,7.03,2.7,1.83,7.77,0.43,0.85,0,0,0,0,0.95,0,11.92,1.6,0,13.96,0,0,0,0,0.53,0.62,0.52,0,0,15.99,0,0
120,18.8,0,0,2.65,2,0,0,0,3.6,0,0,0,0,0,0,47.53,0,0,1.12,0,0,0,0,0,0,10.55,0,0
