stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,94.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.12,86.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27,4.44,0,0,3.97,0,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.33,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,43.38,27.93,0,0,14.84,0,13.98,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,107.97,5.43,0.91,0,4.06,0,3.5,0.92,0,0.92,0,1.88,0,0,1.36,0,16.27,0,0,10.24,40.38,65.27,1.03,2.18,0,0,124.72,8.14,0,24.38,5.15,14.09,0,0,2.28,0,0
 24-34,0,0,0,1.99,99.78,0,6.74,0,24,3.32,3.54,0,0,0.86,1.01,1.48,0,0,0,0,28,16.22,0,26.01,100.7,6.67,2.15,0,0,0,871.12,0.95,1.6,0,4.8,21.09,0,0,12.96,0,0
 36-46,0,0,0,0,55.4,1.72,32.38,0.58,48.59,0.58,12.51,0,0,3.54,0,5.56,0,0.57,0,0.61,54.24,13.33,1.79,20.65,107.59,5.36,1.52,1.88,0,0,1896.77,6.89,0,0,0,34.12,0,0,4.45,0,1.04
 48-58,1.15,0,0,0,74.87,4.39,54.29,2.55,31.01,0.4,18.21,0.66,0.75,5.88,0,3.66,0,0.51,2.61,3.5,29.65,20.02,1.83,7.25,120.28,4.87,1.02,2.9,0,0,1872.52,0,0,0,0,24.26,0,0,3.79,0,7.86
 60-70,0,0,0,0,63.84,8.66,71.76,0,31.95,0.72,14.93,6.29,0,0,4.61,4.46,0,2.77,1.33,0,30.72,8.69,3.39,8.49,65.08,10.61,0,8.02,0,0,1392.78,0,0,0,0,17.51,0,1.9,14.61,0,0
 72-82,0,0,0.76,0,60.55,35.08,55.22,0,17.76,4.46,16.83,7.55,0,0,1.05,7.33,0.59,0.67,0,0,23.82,13.56,3.4,2.3,44.24,0.72,4.31,5.32,0,0,779.9,0,0,0,0,4.98,0.56,0,29.47,1.73,3.78
 84-94,0,0,0,0,112.84,36.37,36.72,0,34.21,9.2,4.4,15.92,0,0.78,1.84,21.95,0.65,1.57,0.83,0,36.78,45.81,10.51,5.86,56.3,3.33,0,5.35,0,0,1681.41,0,0.67,0.83,0,2.75,4.96,0,4.44,1.87,2.99
 96-106,0,0,0,1.03,114.93,73.01,20.56,0,17.06,0,11.52,19.99,0,0.88,4.59,10.03,0,5.39,0.76,0.75,34.99,27.08,4.26,4.84,42.29,0.6,2.72,6.97,0,0,1009.19,0,0,6.18,0,6.66,6.04,3.23,11.96,4.44,0
108-118,0,0,0.92,0,100.19,44.19,22.5,0,12.74,3.15,11.14,21.53,0,1.9,2.95,6.63,0.61,0,0,0,28.07,20.63,5.48,5.47,63.24,0,0.63,0.87,0,2.98,502.79,0,0,0.69,0,3.81,6.68,0,18.55,1.57,0
120,0,0,0,0,64.14,22.2,13.46,0,16.68,0,0,42.24,0,0,1.07,1.22,0,0,0,0,16.97,20.61,0,0,30.27,0,8,0,0,0,217.05,0,1.86,0,0,7.32,1.53,0,26.52,4.11,0
