stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,3.89,0,0,0,0
 14-21,1.24,0.9,0,0,0,0,0.9,0,0,0,0,1.03,0,0,0,0,7.4,0,2.44,0
 24-34,3.24,0,3.94,0,0,2.16,0,0.68,0,2.84,0.78,8.37,0,0,0,0,3.5,0,0,2.19
 36-46,0,0,2.48,0,1.25,0,0,0,0,1.3,0,11.8,0,5.91,0,0,12.23,0,1.01,0
 48-58,0,0,1.69,0,0.46,0,0,0,1.45,0.51,0.82,16.12,0,0,0,0,3.89,0,0,1.47
 60-70,0,0,21.89,0,0,0,0,0,0,0.58,0,10.69,0,0,0,0,0,0,0,0
 72-82,0,0,0.67,1.29,7,0,0,0,0,4.09,0,8.3,0,2.93,1.32,0,1.7,0,3.27,0
 84-94,0,0,0.62,0,0.73,0,0,0,0,16.07,0,0,2.04,0,0,0,5.01,0,0,0
 96-106,0,0,3.6,0,2.42,0,0,0,10.68,0,0,6.94,0,0.87,0,0,4.1,0.6,0,0
108-118,0,0,1.18,0,0,0,0,0,0,3.56,0.57,1.73,0,0,0,0,4.95,0,5.47,0
120,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0
