stage,axial,blastomeres,epidermis,eye,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  3-4,52.7,466.34,0,0,0,0,0,0,0,0,0,0
  5-6,0,240.82,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.28,0,0,0,20.65,4.45,0,0,0
 10-12,0,0,0,7.79,0,0,0,4.28,4.18,0,0,0
 14-21,0,0,0.82,0,0,0,0,2.02,0,0.91,0,0
 24-34,0,0,0,0,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,1.08,0,0,2.92,0,0,1.27,0
 48-58,0,0,0,1.49,0.62,0,0,3.8,0,0,0,0
 72-82,0,0,0,0,0,0,0.84,4.73,0,0,0,1.38
 96-106,0,0,0,0,0,1.02,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.62,0,0,0,0
