stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,60.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.02,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,4.99,0,258.84,0,0,0,0,0,0,0,0,0
 10-12,4.62,31.21,0,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,9.47,0,281.64,0,4.56,59.48,0,0,0,0,0,0
 14-21,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1.11,0.92,0.82,0,0,0,0
 24-34,0,0,1.13,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0.76,0,0,0,0.64,0,0,0,0,0,0,0,0
 36-46,0,0,1.74,0,0,0,0,0,0,0,40.9,0,0,0,0,7.51,0,0,0,0.73,0,0.8,0,0,0,0.75,0,0,0,0
 48-58,0,0,10.09,0,0,0,0,0,0,0,48.72,0,0,0,0.39,15.3,0,3.11,0,0.6,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,21.43,0,0.65,2.35,0,0.96,0,0,129.49,0,0,0,0,3.34,0,2.14,0,0,0,0,0,0,0,0,8.43,0,0,0
 72-82,0,0,43.44,0,1.05,0,0,17.39,2.34,0,163.47,0,0,0,0.79,5.32,0,7.92,0,1.27,0,0.95,0,0,0,0,45.29,0,0,0
 84-94,0,0,133,0,0,0,0,80.28,0,2.88,181.24,0,0,0,1.68,4.21,1.02,3.57,0,0,0,5.2,0,0,0,0,213.25,0,0.86,7.91
 96-106,0,0,240.68,0,14.07,0,3.55,278.47,0,0,332.37,2.08,0,0.67,2.79,10.72,0,17.65,0,0.58,0,0.59,0,0,0,0,201.78,0,0,0
108-118,0,0,380.78,0,2.63,0,7.05,362.38,0,0,192.72,0,0.48,0,4.31,3.54,0.63,5.32,0,0,0,0.45,0,0,0,5.16,283.45,0,0.92,0
120,0,0,195.86,1.39,10.97,0,0,153.44,0,0,103.41,7.77,0,0,0,6.65,0,2.1,0,0,0,1.12,0,0,0,0,181.39,2.35,0,0
