stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0
 24-34,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,6.08,7.16,0,0,0,0,0,2.75,2.06,6.64,0
 36-46,0.63,0,2.48,42.22,0,0,1.36,0,0,0,0,0,0,0,0.95,8.76,1.45,0,0,0,0,30.05,2.37,0,0
 48-58,5.15,0,8.97,24.96,0,0,0.7,0,0,0,0,0,2.13,0,0,27.39,0,0,0,0,0,20.42,6.46,0,0
 60-70,0,0,3.28,26.28,4.43,0,5.32,0,0,0,0,0,4.01,0,5.57,12.2,0,0,0.81,0,0,31.85,1.69,0,0
 72-82,0,0.65,4.92,20.03,0,0,17.47,0,0,0,0,0,3.96,0,0.49,7.14,0,0.81,0,0,0,20.44,3.9,0,6.32
 84-94,2.14,0,12.13,19.93,0,0,11.01,0,0.8,2.16,2.13,0,2.05,0,1.68,23.04,0,0,0,0,0,27.62,0,0,0
 96-106,1.23,6.96,14.51,28.78,0,1.31,41.99,0,1.24,0.57,0,1.75,21.65,0,10.55,30.76,2.29,0.57,0,0.66,0,18.6,0,0,0
108-118,3.01,6.33,6.23,30.02,0,0,36.7,0.77,0,0,0,0,3.92,0.59,6.55,25.96,0,2.83,0,3.13,0,21.16,4.31,0,0
120,0,0,0,33.1,0,0,59.84,0,0,0,0,0,6.35,0,6.44,2.17,0,5.75,0,0,0,8.66,0,0,0
