stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,360.86,8410.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.96,0,0,0,0,0,0,0,0
  5-6,639.67,8467.12,0,22.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.13,0,0,48.25,69.86,0,0,0,0,0,0,0,0
  7-9,9.82,15.08,0,15.87,0,0,0,74.36,0,0,0,0,37.58,0,0,0,0,0,0,0,0,930.57,23.13,0,183.71,0,52.98,0,0,0,0,0,0,0
 10-12,0,6.2,0,28.17,0,0,0,74.84,0,0,0,0,3.04,0,0,0,0,0,0,0,0,394.01,5.01,0,100.59,0,40.64,0,4.13,0,0,0,0,0
 14-21,0,0,0,0.91,8.92,0,0,30.09,0,0,0,1.02,0,0,0,1.08,0,0,3.08,0,9.49,110.78,3.8,0,0,3.72,6.06,16.06,0,0,9.6,15.26,0,0
 24-34,0,0,0,0,1.3,0,0,8.86,0,0,0,1.36,0,0,0,1.45,0,0,11.06,0,1.47,73.03,0.97,0,0,0,0,0,0,0,0.63,20.5,0,10.75
 36-46,0,0,0,0,0,0,0,1.47,0,0,1.43,1.36,0,0,0,0,0,0,4.28,0,3.61,35.61,1.29,0,0,0,1.59,0,0,0,0,3.74,0,0
 48-58,0,0,0,0,0,0,0,8.53,0.97,0,0,3.65,0,0.55,0,0,0,0,3.42,0,0,14.46,0.88,0,0,0,0,0,0,0,2.82,2.49,0,0
 60-70,0,0,0,0,1.42,0,0,4.68,0,0,1.6,7.37,0,0,0,0,0,0,3.34,0,0.74,4.39,0,0,0,0,0,0,0,0,0,1.64,0,0
 72-82,0,0,0,0,0,0,0,7.62,0,0,3.82,4.49,0,0,0.59,0,0,0,8.88,0,0,8.17,0.56,0,0,0,0,0,0,0,0,1.56,0,0
 84-94,0,0,1.55,0,0,2.86,0,2.78,0,1.15,0,6.77,0,0,0,0,0,0,0.94,0,0.84,8.21,0,0,0,1.24,0,0,0,0,0,10.07,0.9,0
 96-106,0,0,0,0,0.6,0,0,7.68,0,0.9,0,6.97,0,0,0,0,0,0,2.79,0.57,0,8.43,0,0.59,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.74,0,0,1.42,2.71,0,0,0.44,4.1,0,0,0,0,7.35,0,2.97,0,0,11.83,0,0,0,0,2.32,0,0,0.41,0,0,0,0.73
120,0,0,0,1.28,0,0,0,0,0,0,0,22.07,0,0,0,0,0,1.1,11.86,0,1.68,2.08,0,0,0,0,0,0,0,0,0,0,0,0
