stage,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,16.27,1.27,0,1.61,0,0
 36-46,0,5.46,2.56,0,51.3,0.56,0,8.39,0.91,0
 48-58,0,10.29,5.64,0,65.29,0,0,5.92,0,0
 60-70,0,23.32,3.71,0,71.22,0,0,12.23,0,0
 72-82,0,14.59,0,0,36.71,0,0.58,3.89,0,0
 84-94,0.9,4.42,0.8,0,24.85,1.72,0,6.97,0,1.36
 96-106,0,3.1,2.86,2.68,14.04,0,0,0,0,0
108-118,0,0.56,0,0,34.42,0,0,0,0,0
120,0,5.56,0,0,76.95,0,0,0,0,0
