stage,epidermis,eye,fin.epithelia,gut,ionocyte,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,12.48,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11.95,1.13,0,0
 24-34,0,0,0,0,0.9,0,0,1.28,0,0,22.86,0,0,0
 36-46,0,0,0,0,0,0,0,1.01,0,0,31.77,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,13.56,0,0,5.63
 60-70,0,0,0,0.72,0,0,0,5.92,0,0,45.47,0,0,0
 72-82,3.2,1.05,0,1.33,0,1.05,0.54,0,1.49,0,11.23,0,0,0
 84-94,3.73,0,0,12.16,0,5.33,0,2.46,0.9,0,34.43,0,0.66,0
 96-106,6.29,0,0,9.17,0,0.59,0,7.46,0,0,35.48,0,2.21,0
108-118,3.87,0,0,6.96,3.03,1.58,0,0,0.42,0,36.5,0,2.28,0
120,4.04,0,1.19,0,0,0,0,1.05,0,0,12.55,0,9.89,0
