stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,56.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.73,0,0,7.32,0,0,0,0,0,0,58.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.52,0,0,12.65,0,0,0,0,0,0,62.98,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.94,3.53,0,0,31.51,0,0,1.99,0.95,56.61,2.31,0,1.24,3.51,0,0,21.56,5.44,8.75,21.56,110.07,0,0,0
 24-34,0,0,0,0.94,0,1.77,0,25.93,0,0,2.75,3.48,14.54,0,16.43,5.11,0,0,0,0,8.29,1.91,4.07,72.22,0,0.73,0
 36-46,0,0,0,0,0,0,15.12,32.84,0.65,0,0.8,0,12.84,0,15.98,13.67,0,0,0,0,7.31,0,0,35.15,0,0,0
 48-58,0,0,0,0,0,0.6,3.48,28.3,1.83,0.99,0.43,0,17.51,0,12.73,1.49,0,0,0,0,13.06,0,0,48.43,0,0,0
 60-70,0,0,0,0,0,6.16,0.6,25.24,3.27,0,0.76,1.68,5.79,0,39.18,6.2,0,0,0,0,1.06,0,0,15.44,0,0,0
 72-82,0,0,0,2.11,0,1.22,0,29.13,8.49,0,2.17,0.88,2.1,0,37.54,8.54,0,0,0,0,0.85,0,0,15.03,0,0,0
 84-94,0,0,0.59,0,2.57,5.17,0,30.89,10.38,0,0,0,4.56,0,36.49,26.15,0,1.63,1.4,0,9.57,0,0,25.12,0,0,4.94
 96-106,0,1.28,0,0,0,1.69,2.8,26.79,19.83,0,1.34,0,18.08,0,69.36,23.05,0,0,0,0,0.84,0,0,21.14,2.5,0,0
108-118,0,0,0.42,0,0,4.47,0,25.82,11.41,3.13,1.9,4.11,8.35,0,42.09,19.71,0,0,0,0,5.38,0,0,17.12,0,0,0
120,0,0,0,0,0,12.08,0,26.92,15.31,0,3.11,0,9.28,0,49.49,38.21,0,0,0,0,3.93,0,0,15.17,1.52,0,0
