stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,166.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0
  5-6,64.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,7.95,0,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.3,2.94,0.88,0,0,0,0,0,0,0,25.02,0,0,0,0,0,0,0.84,4.21,2.67,1.44,0,0,0,0,1.5,0,12.33,2.59,10.62,0,0,0,0
 24-34,0,0,2.19,1.49,0,0.59,0,0,0,0,0,37.82,0,0,0,5.33,0,0,0,4.29,0,0.97,0.68,0,0,1.75,0,1.45,0,1.59,1.34,0,2.34,0,0
 36-46,0,1.01,0,0.79,0,0,0,0,0,0,0,39.88,0,0,0,4.31,0,0,0,5.64,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0
 48-58,0,0,0,0,0,0,4.86,1.06,0,0,0,28.21,0,0,1.93,0,2.32,0,1.05,11.54,0,0,0,0,0,4.47,0,0,0,0,0.71,0,0,0,1.18
 60-70,0,3.07,0,2.07,0,3.43,6.58,9.11,0,0,0,53.32,0,0,0,0,3.28,0,2.96,2.2,0,0,0,0,3.93,3.69,0,0,0,0,1.4,0,0,0,5.74
 72-82,0,0,0,17.32,0,0,2.05,2.36,1.58,0,0,74.87,0,0.53,0,0,7.53,0,0,3.53,0,1.18,0,0,0,0.61,0,0,0.55,0,0,0,0.56,0,2.96
 84-94,0,1.74,7.1,0,0,0.59,1.1,13.77,0,0,0,118.41,0,0,0,0,9.55,0,2.01,8.37,0,0,0,0,0,8.32,0,0,0,0,4.12,1.23,2.58,0.82,0.82
 96-106,0,2.64,0,8.06,0,0,0,1.44,0,0,0.78,133.97,0,0,0,0,12.81,2.59,1.26,5.51,0.6,0.61,0,1.2,0,6.8,0,0,0,0,1.95,0,2.09,0.87,0.63
108-118,0,0.75,0,2.09,1.21,0.58,1.55,4.45,0.79,0,0,137.84,0.59,2.32,0,0,21.51,1.19,1.8,11.2,0,0,0,0,0,3.49,0,0,0,0,3.16,0.67,1.22,5.59,2.33
120,0,9.05,0,0,0,0,0,0,0,0,0,142.97,0,0,0,0,16.68,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0
