stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,heart,ionocyte,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  5-6,8.77,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.04,0,0,0,0,0,0,20.17,0,0,0,9.6,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.23,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.13,0,0.83,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.83,1.52,0,1.12,0,4.2,0
 36-46,0,0,0.77,0,0,0,0.9,0,1.81,0,0,0.89,0,1.06,0,0.68,0
 48-58,0,0,0.38,0,0,0,0,0,6.31,0,5.25,0.4,0,0.5,0,0,0
 60-70,0,0,0,0,4.69,0,0,0,2.05,0,0,0,0,0,0,0,0
 72-82,0,0,1.14,0,0,3.56,0,1.73,0.87,0.81,2.94,0,0,0,0,3.48,0
 84-94,0,0,4.46,0,0,0,0,0,0.74,1.17,2.43,0,0,2.28,0,0,0
 96-106,0,0,2.41,0,0,0,0,0.99,0.9,0.88,0,0.75,0.64,0,0,0,1.03
108-118,0,0,4.74,3.7,0.53,7.58,0,0.47,0,2.51,0,0,0,0.43,0,0,0
120,0,0,4.02,0,0,7.84,0,0,1.23,0,1.56,0,0,0,0,0,0
