stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,176.5,14040.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,332.01,43265.89,34.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.01,14.56,0,0,191.02,0,1258.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,104.12,3808.48,833.35,0,11.93,6512.31,0,0,0,0,0,140.42,0,0,0,0,0,0,0,0,0,0,124980.76,338.78,0,0,24449.11,0,133.42,11.6,0,26.11,0,0,0,0,0,0,0,0
 10-12,0,878.27,310.87,0,43.76,727.73,0,0,0,0,0,35.15,0,0,0,0,0,0,0,0,0,0,29662.95,201.25,0,0,7086.12,0,6.13,20.18,22.61,251.78,0,58.36,16.68,0,0,0,0,0
 14-21,0,2.7,0,177.46,22.08,21.05,0,0,0,23.13,33.88,4.07,0,0,7.83,0,0,17.71,52.03,0,0,81.53,130.27,0.83,0,12.61,33.1,0,1.12,0,2238.4,1.91,95.83,1821.72,149.69,0,0,0,0,24.7
 24-34,0,0,0,14.28,3.83,78.02,0,2.01,8.21,3.86,0,6.91,1.88,0,0.92,0,0,97.18,196.2,0,0,49.47,209.97,0,2.73,105.96,0,0,3.7,0,14.09,2.9,3.53,488.67,17.17,0,0,4.17,0,111.69
 36-46,0,0,0,13.9,0,74.74,0.68,0,18.51,25.52,0,0,9.34,0,7.25,0.81,0,484.98,577.84,1.54,1.26,100.65,371.39,2.21,0,106.34,0,0,0,0,1.78,1.67,0,2.5,82.82,0,0,1.94,0,138.73
 48-58,0.55,0,0,19.07,2.83,180.94,0,6.59,28.42,52.88,0,0,3.43,0,7.21,6.87,0,509.46,1018.63,0.74,3.06,113.49,255.92,4.97,0.97,60.08,0,0.79,0.44,0,0,1.74,0,0,85.51,0,1.62,6.34,0,252.03
 60-70,0,0,0,11.17,0,144.74,2.01,6.4,37.15,137.31,0.63,2.38,2.17,0,23.52,0.66,2.74,303.84,1432.88,0,8.08,88.06,205.87,3.45,0,44.57,0,4.81,2.44,0,0,7.22,1.48,0,32.89,0.77,2.48,4.58,0.81,413.36
 72-82,0,0,0,11.42,0,184.49,0,0.68,38.89,191.63,0,0,9.07,3.83,34.87,0,0,239.83,1721.06,0,6.42,81.58,172.28,1.27,0,46.87,0,8.08,1.92,0,0,3.4,0,0,32.22,0,11.22,3.69,1.55,545.87
 84-94,0,0,0,21.87,8.78,186.15,1.9,0,45.27,193.89,0,0,5.78,0,50.3,1.45,0.96,441.18,1568.87,0,5.29,52.38,90.66,0,0,43.85,0,0.6,4.34,0,0,6.23,0,0,10.88,8.2,9.63,9.04,9.83,322.76
 96-106,1.12,0,0,16.44,5.94,123.65,0,1.54,24.43,264.17,0.85,0,3.86,2.46,37.72,1.73,0.65,172.22,1230.47,0.68,1.43,35.84,141.37,0.69,0,50.18,0,10.1,3,0,0,2.47,0,0,3.7,0,2.95,0,0,417.77
108-118,0,0,0,21.7,0,123.11,0,0,18.12,195.69,0.48,0,1.42,0.65,71.55,0,4.07,212.44,1066.26,2.72,7.71,21.36,136.54,0,1.95,53.84,0,7.67,3.18,0,0,1.25,0,0,28.52,0.71,2.05,0.55,0,428.9
120,2.82,0,0,4.5,0,119.74,0,0,19.61,259.52,0,0,2.09,0,41.36,2.64,7.4,113.15,950.61,1.56,12.87,10.11,180.01,0,0,70.11,0,7.36,1.53,0,0,2.82,0,0,22.72,12.35,6.25,3.42,0,139.54
