stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.92,415.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.58,126.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13,0,8.43,0,0,22.64,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,98.78,4.24,0,0,37.95,0,0,15.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.57,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.31,0,0,0,4.74,0,0,0,7.03,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.71,1.05,8.31,0,0,0,0,0,0,1.23,0,82.25,0,0,0.96,0
 24-34,0,0,0,0,0,0,6.21,0,0,0.84,1.12,0,0,0,0,0,0,0,0,5.96,2.04,0,0,1.79,874.76,0,23.3,0,0,0,0.99,0,1.06,0,1.62,347.75,0,0,0.65,0
 36-46,0,0,0,0,2.01,0,60.47,0,0,0,1.9,0,0,0,0,0,0,0,0,0,3.09,0,0,7.07,1870.61,0,36.18,0,0,0,17.12,0,0,0,0,426.24,0,0,6.43,1.36
 48-58,0,0,0,0,22.06,0,267.8,0,0,0,22.04,0,3.95,0,0,0,4.83,0,2.1,1.15,24.08,0,10,0.64,2326.6,0,26.1,0,0,0,6.35,0,0.46,0,0,421.34,0,0,0,6.36
 60-70,0,0,0,0,11.5,9.83,683.1,0,0,0,14.14,0,0,1.5,0,0,0,3.85,2.6,5.72,31.96,0,0,0,2831.26,0,26.23,0,0,0,19.88,0,0,1.58,0,436.13,0,0,1.08,7.2
 72-82,0,0,0,0,6,5.42,688.29,0,0,1.1,33.07,0,0,0.66,1.75,0,3.43,0,0,4.19,15.6,1.79,1.52,3.05,2148.06,0,29.86,0.54,0,0,0,0,2.8,3.02,0,307.62,0.53,2.9,0,16.72
 84-94,0,0,0,0,7.52,1.3,617.9,0,0.66,0,36.02,0,0,1.02,2.78,0.72,7.93,0,0,0,29.03,0,0,3.71,1563.56,0.65,32,0.72,0,0,3.85,0,0,0,0,208.61,0,0,1.91,0
 96-106,0,0,0.99,0,9.01,19.63,549.8,0.62,0.69,1.34,31.04,0,0,0,1.32,0.64,0,0,3.25,0,7.72,0,0,4.15,1202.33,0,35.65,0.57,0,0,3.81,0,0,0,0,54.72,2.26,3.27,0,0
108-118,0,0,0.57,0,11,2.51,553.09,0.67,1.41,0.5,17.99,0.74,0,0,1.98,0.93,0.51,0,1.41,0,7.82,0,0,4.54,1611.27,0,17.02,0,0,1.32,4.24,0,0,0,0,56.58,0,0,2.67,2.73
120,0,0,0,0,24.79,0,554.59,0,2.28,0,25.17,0,0,0,0,0,0,0,0,0,47.98,0,0,3.59,1819.47,0,21.19,0,0,0,2.89,0,2.43,0,0,94.77,0,0,0,0
