stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.17,0,0,0,0,0,0,0,0,0
  5-6,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.92,0.83,0.86,0,0.88,0,0,0,0,0,0,0,0,0.86,0,0,4.05,0,0,0,0,0,4.48,0,0,0,0,8.74,0,0,1.97,0,0,0,0,0,0
 24-34,0,0,0,9.17,9.65,0.6,0,1.74,0,3.07,0,0,0.92,0,0,0,40.47,0,15.76,7.72,0,4.91,1.64,0,0,16.47,0.7,4.84,0,0,99.07,0,0,0,4.15,0,0,0,0,0
 36-46,0,0,0,1.13,20.69,0,0,0,0,0.56,0,0,0.61,4.45,0,0,9.48,0,24.64,16.19,0,4.02,0.87,0,0,30.17,0,5.59,9.3,0,138.86,13.17,1.23,0,1.73,0,0,0,0,0
 48-58,0,0,0,0,13.13,0,0,3.99,0,1.94,0,1.78,7.63,0,0,0,1.81,0,35.35,9.23,0,1.06,1.11,0,1.43,66.56,13.68,10.19,9.42,0,101.13,0,0,0,0.56,0,0,0,0,0
 60-70,2.39,0,4.68,0,17.09,0,62.01,6.14,0,3.91,0,10.54,42.01,1.71,0,0.82,6.05,0,38.51,36.44,0,10.06,3.97,0,0,223.8,3.79,5.26,17.17,0,117.96,0,0,0,0.8,2.51,0,1.71,0,0
 72-82,0,0,10.79,1.19,31.35,1.12,1187.61,58.2,0,2.79,4.65,12.96,130.39,0,3.11,2.91,4.47,2.65,84.09,12,0,50.28,4.83,5.23,4.38,434.87,7.65,3.84,3.88,0,109.49,0,0,0,1.86,8.65,2.06,11.43,1.45,5.95
 84-94,0.62,0,17.05,5.49,31.28,10.81,2294.92,29.65,0,2.61,0.75,8.12,233.61,0,0,5.29,16.43,2.32,47.7,42.26,0,35.64,2.85,1.07,1.63,299.3,19.44,6.59,0,0,260.21,2.03,0,0,13.49,14.04,0,0.76,0,0
 96-106,0,0,35.55,7.12,45.8,41.19,6041.82,143.89,0,2.23,3.89,56.17,364.84,0,0.66,15.79,20.96,3.08,56.65,62.15,0,137.76,10.15,8.03,1.73,675.5,8.83,21.45,8.18,4.33,152.7,0,0,0,11.26,7.82,0,30.43,6.47,20.73
108-118,0,0,46.18,18.66,62.58,52.94,18990.36,412.54,5.29,9.67,11.96,47.7,663.7,0,0.92,25.79,34.16,15.1,70.49,103.56,15.21,219.54,15.02,2.18,11.5,813.93,18.78,13.74,5.84,4.79,257.82,2.4,1.45,0,23.17,11.33,9.24,23.6,1.59,33.39
120,2.37,0,58.76,14.11,114.43,41.81,7972.87,278,5.82,4.92,0,63.24,977.2,0,0,49,117.13,5.54,173.54,168.42,0,195.14,5.7,0,6.35,1153.9,88.75,21.35,2.9,5.5,188.94,29.31,0,0,46.12,19.14,3.14,37.67,4.69,13.62
