stage,axial,blastomeres,endoderm,exocrine_pancreas,eye,hatching_gland,immune,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,92.32,948.54,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0
  5-6,182.04,1960.48,0,0,0,0,0,0,0,0,0,17.56,0,0,0,0,0,0
  7-9,11.74,5.39,9.6,0,0,8.39,0,0,0,78,6.95,22.19,0,9.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83
 48-58,0,0,0,0,0,0,0.45,4,0,0,0,0,0,0,0,0,0,5.86
 60-70,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,14.92
 72-82,0,0,0,0,0,0,0,0,3.01,5.19,0,0,0,0,0,0,0.57,6.95
 84-94,0,0,0,0,0,0,0.72,0,0,8.46,0,0,0,0,0,0,0,2.65
 96-106,0,0,0,3.15,6.6,0,0.74,0,0,2.68,0,0,0,0,1.56,0.68,0,1.29
108-118,0,0,0,0,0.58,0,0.83,0,0,16.8,0,0,0,0,0.94,0,1.55,0
120,0,0,0,0,0,0,0,0,0,14.15,0,0,0,0,0,0,6.61,0
