stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.9,0,0,6.71,0.88,0,1.75,2.6,0,0,0,0
 24-34,0.83,0,6.99,0,1.08,0,0,0,4.78,0,0,33.79,0,2.65,0,13.09,0,0,0,0
 36-46,0,0,9.95,2.04,2.52,0,0,0,0.83,1.32,0,18.81,0,2.44,0,4.08,0,0.58,0,0
 48-58,2.07,0,10.79,3.21,3.6,0,0,0,14.58,0,3.09,27.92,0,0,0,2.43,0,0,0,0.44
 60-70,0,0,20.67,0,0,0,0,0,0.66,0,0,45.47,0,2.58,0,13.7,0,4.77,0,0
 72-82,0.7,0,4,0,0,0,2.95,0,7.14,0,0,19.61,0,0.82,0,1.23,0.99,0,0,0
 84-94,0,0,7.39,0.86,0,0,0,0,0,0,2.24,21.87,0,0.77,0,0,0,0,2.06,0
 96-106,0,0.69,12.74,0,0,0,0,0,0,1.34,0,8.65,0,0,0,0,0,0,0,0
108-118,0,0,1.54,0,2.77,0,0,0.44,4.72,0,0,10.06,0,1.31,0,0,0,0,0,0
120,0,0,2.99,1.42,0,1.82,0,0,6.01,0,0,87.8,0,0,0,0,0,0,0,0
