stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,mucous,neural,notochord,periderm,pgc,somites,spinal.cord,vasculature
  3-4,272.3,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0
  5-6,53.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.24,0,5.06,0,0,0,0,0,0,0,5.81,0,0,4.81,0,0,0
 10-12,0,0,4.1,0,0,0,0,0,0,0,6.46,0,0,9.77,0,0,0
 14-21,0,1.35,0.81,0,0,0,0,0.92,0,0,13.27,0,1.51,0,3.01,0,0
 24-34,0,0.65,0.84,0,0,0,0,3.76,0,0,8.55,0,0,0,0,3.8,0
 36-46,0,0,0.57,0,4.46,0,0,3.34,0,0,21,1.44,8.58,0,0,3.9,0
 48-58,0,0.6,0,0.47,1.04,0,0,9.16,0.38,0,6.4,0,0,0,0,2.86,0
 60-70,0,1.43,1.04,1.4,1.78,0,1.45,17.08,0,1.43,2.15,0,2.34,0,0,0,0
 72-82,0,0.68,1.26,0,0.91,0,0,34.65,1.13,0,20.16,0,0,0,0,0,4.44
 84-94,0,0,8.2,0,0,0,0,43.62,0.86,0,3.47,0,0,0,0,0,2.01
 96-106,0,0,0,0,1.61,0,0.72,37.85,2.41,0,5.6,0,0,0,0,0,0
108-118,0,0.57,7.07,0,1.13,0.45,0,36.61,1.54,0,4.36,0,1.07,0,0,0,0.99
120,0,0,0,0,0,0,0,55.84,0,0,0,3.25,0,0,0,0,15.6
