stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.72,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.94,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.22,0,0,0,0,0,22.82,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.97,0,0,0,5.34,0,0,0,0,0,0,0,0
 14-21,0,0.93,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,1.22,0,0,1.07,0,0,134,1.78,0,0,0,0,0
 24-34,0,0.59,0,2.25,0,0,0,0,0,1.61,0,0,0,0,2.21,0.69,27.71,0,0,0,0,0,269.64,2.5,0,0,0,0,0
 36-46,0,0,0,1.16,0,0,0,0,0.94,0,0,0,0,1.82,7.13,1.29,12.96,0.65,1.85,0,0,0,508.31,1.27,0,0,5.53,0,0
 48-58,0,10.25,0,6.45,0.77,0,0.37,0,0.85,0.47,0,0,5.18,4.82,1.32,2.37,15.48,0,1.38,0.42,0,0,261.13,4.65,0,0,0,0,0
 60-70,0,3.66,0,11.74,8.32,0,0,0,0.57,0,0,0,0,1.11,1.3,0,16.96,0,0,4.37,0,0,328.91,1.98,0,0,0,0,0
 72-82,0,17.19,0,5.72,3.24,0,0,0,0.52,2.74,0,0,0,5.13,0.71,0,6.5,0,0,2.36,0,0,295.76,0,0,0,0,0,0
 84-94,0,44.9,0.7,5.86,18.35,0,0,0.59,0,3.57,0,0,0,0,2.09,0,4.63,0,0,3.61,0,4.76,740.51,3.56,0,0,0,0,0
 96-106,0,52.16,1.31,8.69,9.5,0,0,3.37,0,3.94,1.64,0,0,5.63,0,0,9.55,0,1.1,2.08,0,3.21,641.73,0,0.83,0,2.32,4.24,0
108-118,0,42.74,0,5.26,18.38,0.97,0,2.87,0,7.49,0,0,0,15.61,6.55,3.74,20.3,0,0,10.98,0,0,526.8,0,2.45,0.86,0,0,0
120,0,35.9,1.49,4.94,17.82,0,0,0,0,5.14,0,11.03,0,0,4.04,0,27.81,0,0,0,0,0,342.95,0,1.06,0,0,5.89,3.58
