stage,epidermis,eye,fast.muscle,glial,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,slow.muscle,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0
 14-21,0.82,0,0,0,0,0,1.27,0,0,3.28,0,0,0,0
 24-34,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,8.3,0,0,0.69,0
 48-58,0,3.41,0,0,0,0,0,0,0,2.39,0,0,0,0
 60-70,0,6.3,0,0,0,0,1.68,0,0,9.26,0,0,0,0
 72-82,0,1.92,0,0,0,0,5.72,0.57,0.69,5.76,0,1.5,0,0.68
 84-94,0,31.32,0.69,0,1.91,0.55,8.93,6.65,0,12.97,0,0,0,0
 96-106,0.83,19.83,0,0,0.99,0.7,5.46,0,0,2.06,0,0,0,1.02
108-118,0,23.93,2.37,0.44,1.63,0.48,11.37,0.45,0.55,10.03,0,0.56,0,0.7
120,0,3.81,0,0,0,0,5.79,0,0,1.29,0,0,7.32,0
