stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,0.93,7.25,1.87,0.91,0,0,0,6.9,0.85,0,0,0,0,0,0,7.9,0,7.79,36.97,0,0,0,0,3.01,9.22,0,7.92,41.09,0,0,0,0
 24-34,0,0,0.96,0,5.82,0,0,2.08,3.17,0,0,0,0,3.94,0,0,24.3,0,6.4,69.73,15.39,2.2,0,0,0,10.06,0,0,30.76,0,0.85,0,0
 36-46,0,0,19.17,0,2.23,0,0,0,14.72,0,0,0,0,0,15.36,1.49,20.8,0,0,124.99,39.7,0.59,0,0,0,9.36,0,0,14.57,0,0.76,0,0
 48-58,0,0,2.18,0,7.84,0.73,0.4,0.94,4.33,0,0,0,0,0,0,0.39,23.76,0,3.63,112.86,30.1,1.03,0,3.81,0,1.99,0,0,12.58,0,0.5,0,0
 60-70,0,0,0.6,0,4.64,0,0,0.63,12.19,0.84,0,0,0,0.57,0,0,19.17,0,2.22,93.52,46.28,0,0,6.25,0,12.14,0,0,10.9,0.59,0.57,0,8.48
 72-82,0,0,0.66,0,15.95,0,0,0,21.81,0,0,0,0,0,0,0,48.95,0,4.68,138.46,156.95,2.8,0,1.54,0,1.65,1.81,0,17.9,0.96,1.35,0.57,0
 84-94,0,0,3.05,0,10.18,0,0,0,8.27,0,1.5,0,0,1.08,0,0,41.6,0,9.82,34.63,91.91,9.65,1.65,0,0,2.28,0,0,8.15,0,0,0,0
 96-106,0,0,1.12,0,13.82,0,0,0.57,35.89,0.56,0,0,0,4.83,0,0,13.33,0.92,2.31,96.42,158.71,12.87,0,6.33,0,1.02,0,0,22.63,0,0.61,0,0
108-118,0,0,0,0,9.89,0,0.97,3.11,16.59,0,0,0.64,1.64,1.57,0,0,29.82,0,0.43,71.4,98.14,10.48,0,1.04,0,1.06,0,0,21.94,0,0.57,1.76,0
120,0,0,0,1.01,20.09,0,0,0,5.91,0,0,1.63,1.58,0,0,8.73,33.86,0,1.23,66.03,133.03,0,0,0,0,7.43,0,0,13.49,0,0,0,0
