stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,26.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.94,0,0,0,17.09,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,0.81,0.86,0.92,1.28,0,0,0,0.83,1.96,0,0,0,3.48,0,0.81,32.67,0,0,0.98,0,1.79,3.73,3.48,0,1.72,8.69,0,0,0
 24-34,0,0,0,1.29,0,5.14,0,0,0,0,0,0.6,0.64,0,3.78,0,3.52,19.65,0,1.41,0.75,0,0,0,0,0,1.22,7.88,0,3.57,0
 36-46,0,0,0,5.82,0.57,11.41,0.76,0,0,5.33,0,0,0,0,3.5,0,0.79,30.88,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 48-58,0,0,0,0,0,13.14,0,0,0.86,1.93,0,0,0,0,4.62,0,4.21,37.16,3.68,0.58,0,0,0,0,0,3.19,0,7.99,0,0.79,0
 60-70,0,0,0,4.85,0,19.35,0,0,0.81,6.71,0,0,0,0,9.24,14.35,0,42.22,0,0,1.26,0,0.98,0,0,0,0,2.82,0,0.97,0
 72-82,0,0,0,0,0,22.86,0,0,0.5,11.7,0,0,0,0,6.55,0,1.35,41.43,0,0,0,0,0,0,0,0,0,6.64,1.35,5.04,0
 84-94,0,0,0,6.01,0,3.83,2.3,0,0,10.41,0,0,0,0.81,8.96,0,2.61,14.42,0,0,2.64,0,0,0,0,0,0,7.41,0,0,0
 96-106,0,0,0,0,0,6.73,0,0,0,2.16,1.21,0,0,0,10.71,1.01,0,48.7,0,0,0.79,0,0,0,0,0,0,4.29,0,2.32,0.68
108-118,0,0,0,0,0,3.98,0,1.24,0,1.14,0,0.42,0,0,17.34,0,0,12.21,0,0,0,0,0,0,0,0.69,0,1.4,0,3.17,0
120,0,0,0,0,0,0,1.18,0,3.99,0,0,0,0,4.3,0,0,0,48.11,5.26,0,0,0,1.23,0,0,0,0,0,0,0,0
