stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,otic,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.25,0,0,0,0,0,0,0,0,0,0,4.65,1,0,0,1,0,0,0,0,0
 24-34,0,1.66,0,0,0,0,1.67,0,0,0,0,0.65,0,0,1.62,0,0,0.66,1.92,0,0,0
 36-46,0,2.17,0,1.53,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0.8,0,2.32,3.36
 48-58,0,1.74,0,0,0,0.92,1.33,0.88,0,0,1.13,0.43,9.26,0,0,0.84,0,0,0,0,0,0
 60-70,0,0,0,1.25,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.78,0,0,0,0,0,0,0,0.84,27.75,0,0,0,0,1.03,0,2.31,0,0
 84-94,0,2.47,0,0.77,0,0.56,1.46,0,0,0,1.25,0,19,0,0,0,0,0,0,0,0,3.41
 96-106,0,0,0,0,0,0,0,0,1.25,0,0,2.45,5.69,0,0,11.02,0,1.3,0,0,0,0
108-118,0,0,3.69,0.49,0,0,0,0,0,1.14,0.94,0,5.99,0,0,1.81,0,0,0,0,0,0
120,0,1.67,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0
