stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,88.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.06,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,16.25,0,0,0,0,0,0
  7-9,8.98,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,5.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81,13.94,0,9.51,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0
 24-34,0,0,0.84,0,0,10.13,0,0,0,0,0,8.98,0,0,0,11.09,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.63,0,0,4.09,3.07,0,0,0,0,4.62,0.8,0,0,0.95,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.43,1.52,0.64,0.71,0,0,0,1.59,2.1,0,0,1.57,0,0,0,0,0,0.55,0,0.37,0,0
 60-70,0,0,0,0,0,2.93,0,0,0,0,0,0,3.39,0,0,1.54,0,3.57,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.54,4.69,0,0.52,0,0,0,2.19,6.06,14.19,0,0,5.29,0,0,0,0,0,0.95,0,2,0,0
 84-94,0,0,0,0,5.44,0.58,0.85,0,0,0,3.04,5.95,17.49,0,0,2.7,0,0,0,0,0,0,0.63,1.26,0,0
 96-106,0,0,0,0,0.74,3.53,1.1,0,0,0.59,3.4,5.82,15.6,1.24,0,5.38,0,0,0,0.75,0,0,0,2.06,0.61,6.32
108-118,0,0,0,0.94,0,1.72,0.73,0,1.11,0,10.59,9.71,22.6,4.57,1.67,3.5,0,0.55,0,0,0,1.38,0,1.58,1.3,0
120,0,0,0,0,7.17,4.2,0,0,1.35,0,4.5,15.08,0,0,0,6.18,0,0,0,3.65,0,0,0,0,0,0
