stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,73.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,4.98,0,187.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36,0,0,15.8,0,0,5.43,0,0,0,0,0,0
 14-21,0,5.74,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.86,10.46,0,1.64,0,0,0,0,161.87,0,0,0,0
 24-34,0,7.02,0,4.6,0,14.06,0,0,0,1.88,0,2.01,0,0,0,0,1.33,11.36,0,0,5.35,892.65,76.13,0,0,0,3.09,1.69,0.88,656.36,0,0,0,0
 36-46,0,1.47,0,1.66,0,92.49,3.24,0,0,4.22,0,0,0,0,0,0,0,0.89,0,0,1.22,2352.54,132.24,0.83,0,0,10.8,0,0,857.05,0,10.87,0,0
 48-58,0,1.59,0,5.82,0,391.07,0,0,0,17.25,0,0,0,0,0,0,0.87,21.07,0,0,0,2173.42,78.67,1.14,0,0,6.45,0,0.69,399.61,0,6.28,0,8.41
 60-70,0,11.16,0,0.75,0,761.44,0,0,0,37.78,0.78,0,2.61,0,0,0,1.35,6.46,0,0,1.84,3185.15,54.8,0,0,0,13.06,0,0,573.72,0,0,0,9.38
 72-82,0,5.84,0,5.77,2.45,818.95,0,4.54,0,28.2,0.94,0,6.81,0,0.78,0,0,32.06,1.83,0.81,0.71,2994.18,101.04,0,0,0,0.81,0,0,455.96,0,1.31,0,0
 84-94,0,2.8,0,6.53,0,813.89,0,4.74,1.27,46.74,7.25,0,12.11,0,1,0,0,17.06,0,7.74,0,2455.88,98.52,7.38,0,0,5.23,0,0,281.52,0,0.57,9.83,6.4
 96-106,0,11.14,0,27.03,0,704.53,0,3.79,0,29.08,1.17,0,0,0,0,1.55,9.55,29.31,0,0,2.87,1951.29,154.2,2.87,0,0,9.14,0,0,145.57,0,0,0,0
108-118,0,2.32,0,21.37,0,711.4,3.3,0,0,31.11,1.21,0,2.8,0,0,0,0,18.6,1.09,0.65,1.07,2964.69,114.75,4.31,0,3.8,1.94,0,0,236.22,1.43,0,3.36,0
120,0,0,0,54.62,0,881.22,0,2.41,0,44.03,0,0,5.91,8.38,0,1.88,0,13.54,0,0,5.25,5577.6,75.15,0,0,0,0,11.93,0,232.33,0,0,0,0
