stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,635.41,10733.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.67,0,0,0,0,0,0,0
  5-6,1483.98,25518.25,25.9,0,0,0,0,0,0,0,0,42.71,0,0,0,0,0,0,0,0,0,669.75,58.73,0,0,137.54,259.08,0,0,0,0,0,0,0
  7-9,375.79,512.09,770.19,0,0,1823.57,0,0,0,0,0,311.36,0,0,0,0,0,0,0,0,0,15758.53,496.52,0,0,5520.18,11.54,10.61,0,0,0,0,0,0
 10-12,0,313.03,347.81,0,51.86,723.9,0,0,0,0,0,94.9,0,0,0,0,0,0,0,0,0,6894.34,203.63,0,0,2611.56,3.07,0,31.02,254.88,6.98,9.42,0,0
 14-21,0,0,0.96,0.9,0,1.09,0,0,0,0,1.19,0,0,0,0,0,0,0,0.88,0,2.16,37.07,0.87,0,0,2.58,0,0,3.04,0,4.06,4.43,0,0
 24-34,0,0,0,1.44,0,8.59,0,0,0,0.9,0,0,0,0,0,0,0,0,5.05,0,0.89,103.03,1.18,0.6,1.6,0,0.65,0,0,1.6,2.96,10.62,0.63,0
 36-46,0,0,0,4.44,1.9,20.06,0,0,0.63,3.07,0,0,0,0,0,0,0,0,2.84,0.86,0,80.49,0,0,0,0,0,0,0,0,0,18.75,0,0
 48-58,0,0,0,0,0,12.6,2.98,0,0,2.23,0,0,0,0,0,0,0,0.4,4.72,0,1.98,86.53,0,1.71,0,0,0,0,0,3.3,0,15.57,0,0
 60-70,0,0,0,0.63,0,24.68,0,7.63,1.47,6.06,0,0,0,0,0,0,0,0,13.41,0,1.6,92.21,0,0,0,0,0,0,0,0,0,11.71,0,2.67
 72-82,0,0,0,0,0,28.43,0,0,0,6.54,0,0,0.56,0.59,0,0,0,0,9.96,0,0.51,56.43,0,0,1.06,0,0,0,0,0,0,10.14,3.2,0
 84-94,0,0,0,1.99,0,12.59,0,0,0.91,0,0,0,0,0.95,0,0,0,0,0,1.03,0,34.27,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.93,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0,26.91,0,0,0,0,0,0,0,0,0,0,1.04,0
108-118,0,0,0,1.61,0,22.63,0,0,0,0,0,0,0,0,0.69,0.88,3.26,0,1,0,0,27.24,0,2.11,0,0,1.02,0,0,0,0,0,0,0
120,0,0,0,0,0,7.75,0,0,0,1.79,0,0,0,16.51,0,12.97,0,0,0,0,0,36.22,0,0,3.15,0,1,0,0,0,0,0,0,0
