stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.81,0,0.82,0,0,0,0,0,1.4,0,0,4.01,0,0,0,1.75,0,0,0
 24-34,0,0,0.81,0,0,0,0.69,0,1.38,0,2.3,26.23,0,0.64,0,6.99,0,0,0
 36-46,0,0,1.72,0,1.51,0,0,0,1.93,0,0,14.81,0,0,0,4.14,0,0,0
 48-58,2.8,0,4.07,0,0,0,0,0.43,0.73,0,0.39,36.58,0,0.7,0,3.54,0,0,0
 60-70,21.36,0,13.27,1.4,12.54,0,0,0,6.77,0,0,45.56,0,0,0.6,4.9,0,0,0
 72-82,0.63,0,15.97,0,0.73,0,0,0,0,0,0,33.65,0,0,0,3.17,2.93,0,0
 84-94,0.74,3.19,7.46,0.63,0.75,1.64,0,1.9,17.39,0,1.83,17.08,0,0,0,0.99,0.76,0,0
 96-106,0,0,12.75,0,7.63,0,0,0,8.91,0,0,12.06,0,0,0,0,0,0,0
108-118,0,0,10.18,0,0,0.45,0,0,6.33,2.74,0.71,15.75,2.68,0,0,0,3.24,0,0
120,0,0,5.04,0,22.09,0,0,0,18.66,0,3.98,124.11,0,0,0,15.89,0,1.05,12.45
