stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,314.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0
  5-6,19.35,105.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0
  7-9,4.02,7,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,0,0,0,3.67,0,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.74,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,21.3,2.06,2.21,1.04,0,0,0,0,8.41,0,0,0,0,3.56
 24-34,0,0,0,0,0,0.62,1.03,0,0,0.6,0,0,0,0,0,0,0,0.72,0,0,46.04,0,20,2.33,0,0,0,0,9.36,0,0,0,0,0
 36-46,0,0,1.9,0,0.72,0,1.58,0.68,0,2.17,1.04,0,0,0,0.6,0,0,4.78,1.72,2.06,58.61,0,46.44,0.78,0,0,0,0.72,15.31,0,0,0,0,0
 48-58,0.39,0,0,0,0,0,4.93,0,0,0.73,0,0,0.4,0,0,0,0,2.28,2.03,1.66,52.25,0,29,0,0,0,0,0,8.54,0,1.87,0,0.72,0
 60-70,0,0,0,0,0,0,7.27,0,5.86,13.39,2.8,0,0,0,0,0,5.63,19.03,18.01,0,46.73,0,62.79,0,0,1.13,0,0.62,6.82,0.77,12.23,0,9.34,0
 72-82,0,0,1.36,0,0,0,16.38,0,0,29.96,1.57,0,0,0,0,0,0,58.18,31.74,0,39.5,0,41.48,1.19,0,4.98,0,0.97,4.7,0,22.89,0,39.38,0
 84-94,0,0,0,0,1.94,0,31.29,0,0,20.91,8.86,0,0,0,0,0,0,27.25,26.03,0,39.44,0,49.77,14.35,0,2.48,0,0,0.77,0,24.1,0,37.14,0
 96-106,0,0,1.14,0,0,0,30.21,0,0,46.85,7.84,0,0,0.71,2.94,0,0,39.9,43.3,10.67,38.41,0,52.07,4.63,0,4.87,0.6,0,0,0,22.26,0,29.95,0
108-118,0,0,0.85,1.23,2.68,0,36.55,0,0.59,38.79,13.29,0,0,0,0.49,0.43,0,19.06,44.38,0,33.92,0.55,35.79,3.72,0,8.04,2.25,0.84,0,0,11.16,0,21.3,0
120,0,0,7.72,0,0,0,38.58,0,0,6.22,15.13,0,0,0,0,0,0,28.21,121.34,1.49,51.56,0,69.33,3.38,0,11.64,0,1.44,0,0,12.65,8.35,22.07,0
