stage,axial,blastomeres,eye,fin.mesenchyme,liver,muscle,neural,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,24.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,5.87,8.29,0,0,0,59.53,3.68,0,0,0,0,0
 10-12,0,0,7.37,0,0,0,50.27,9.4,11.02,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,15.47,2.98,1.27,0
 24-34,0,0,0,0,0,0,2.76,0,0,0,2.35,0.97,0.77
 36-46,0,0,0.65,0,0,0,1.92,0,0,0,0,0,0
 48-58,0,0,0.59,0.45,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.17,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.7,0,0,0.69,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.71,0
108-118,0,0,0,0,0.61,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.91,0,0,0,0,0,1.82
