stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.16,72.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,41.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,1.51,0,0,0,0,0.65,0,0.91,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,1.42,0,0,1.5,1.03,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,37.16,0,2.81,0,0,0,20.61,0,0,2.88,0,0,0,0,15.57,0,2.7,0,0,0,0,0
 60-70,0,0,0,0,0,13.06,6.35,0,6.6,0,0,3.16,0,0,0,0,1.16,0,183.11,0,5.69,3.37,0.98,0,20.92,0,0,0,0,0,0,0,49.8,0,0,0,0,0,0,0
 72-82,0,0,0,2.76,17.19,120.36,98.3,0,0,0,7.62,1.43,0,0,7.51,0,0,2.07,1837.64,0,41.26,1.92,0.55,5.15,228.77,3.97,1.65,0,0,0,8.01,0,582.61,0,5.09,0,0,8.26,3.14,1.14
 84-94,0,0,0,13.15,29.03,307.82,87.42,0,0,0,15.13,8.76,0,0,1.75,0.77,0,0,4082.82,0,30.21,1.81,1.91,3.58,260.77,0,0.9,5.28,0,0,27.69,0,2016.35,0,5.47,2.36,0,8.64,2.96,6.37
 96-106,0,0,1.19,75.37,127.15,623.12,552.11,4.26,15.42,30.75,125.28,41.29,0,3.67,38.44,7.78,14.55,12.38,13911.6,0,270.62,20.66,16.62,34.81,1908.44,15.49,11.27,10.26,0,10.95,195.15,3.82,2742.27,6.62,38.56,4.6,7.55,33.77,8.8,26.52
108-118,0,0,2.93,63.13,52.44,1249.38,462.92,3.3,7.75,16.61,112.01,16.93,0,4.74,13.97,1.04,8.57,4.5,26067.94,7,271.46,10.97,7.57,21.03,1667.41,5.32,13.66,13.89,0,10.99,87.56,0,3071.19,4.48,33.78,10.59,9.24,43.5,8.6,31.68
120,0,0,2.52,53.36,17,407.47,361.03,0,8.06,14.23,77.33,12.84,0,0,7.98,8.22,0,1.62,14470.27,0,200.06,3.01,5.09,39.5,1147.56,0,4.89,17.15,0,15.95,27.88,0,1327.38,1.37,37.98,3.57,0,47.22,18.07,13.79
