stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,104.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.64,0,15.95,0,0,4.51,0,0,8.6,0,0,0,0,0,0,0,0,0,109.21,0,0,0,31.67,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.09,20.43,0,0,129.09,0,0,32.02,0,0,0,0
 14-21,0,0,0.83,0.85,0,0,0,25.95,0,0,0,0,0,0,0,0.81,0,0,25.21,2.03,0,4.18,0.87,0,0,14.17,1.86,87.9,0,0
 24-34,0,0,0.59,0.79,1.21,3.35,0,36.68,0,0,0,0,0,0,0,1.91,0,0,48.09,0,24.32,1.38,0,0,0,12.51,0,63.64,0.61,0
 36-46,0,0,0,0,0,3.63,0,15.29,0,0,0,0,3.34,0,0,0,0,1,81.52,0,42.39,0,0,2.96,0,7.33,0,49.84,0,0
 48-58,0,0,0,4.3,0,2.33,0,21.15,0,0,0,0,0,0,0.43,1.14,0,1.35,38.73,0,30.8,0.93,0,0,0.65,4.71,0,42.35,0,0.47
 60-70,0,0,0,0,0,10.94,0,31.95,0,0,0,0,0.6,0,0,0,0,0,43.23,0,32.12,6.69,0,0,0,4.67,0,25.18,0,0
 72-82,0,1.18,0,0.57,0,9.96,0,19.25,0,0,0,0,0,0,0,0.85,0,0.71,44,0,59.68,4.81,0,0,0,2.24,0,18.74,0,0
 84-94,0,0.94,0,0,0,7.98,1.51,11.28,0,0,0,0,0.64,0,0,6.85,0.6,0,21.35,0,21.14,10.7,0,0,0,7.96,0,20.16,0,0
 96-106,0,0,1.07,0,0,14.34,0,12.27,0,0,0.71,0,11.58,0,0,3.97,0,0,13.15,0,54.16,11.24,0,0,0,1.27,0,9,0,0
108-118,0,0.93,0,0,0,9.59,0,10.36,0,0.69,1.98,2.67,4.91,0.67,0,0.73,0,0.68,16.54,0,31.21,8.38,0,0,0,4.25,0,3.14,0,7.26
120,0,0,0,0,0,7.7,0,12.66,0,0,0,0,10.22,0,0,0,0,0,25.27,0,23.62,1.51,0,0,0,14.29,0,1.75,0,0
