stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.05,1227.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,164.85,2164.61,0,0,0,0,0,0,0,0,0,26.85,0,0,0,0,0,0,0,0,0,0,0,410.24,29.7,0,0,63.17,0,16.09,0,0,0,0,0,0,0,0,0,0
  7-9,21.78,21.67,30.01,0,0,85.99,0,0,0,0,0,47.24,0,0,0,0,0,0,0,0,0,0,0,977.25,11.03,0,0,298.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.45,85.66,0,16.64,52.08,0,0,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0,0,1041.91,26.44,0,0,430.55,0,0,0,44,0,0,14.29,0,0,0,0,0
 14-21,0.89,0,17.14,269.78,25.1,64.44,0,0,0,37.25,4.34,0,4.71,0,4.06,0,0.92,0,0,117.58,0,0,69.27,1697.09,30.78,7.48,3.47,52.42,0,2.23,112.68,5.8,5.14,105.95,378.04,0,0,8.71,0,0
 24-34,0,0,2.95,89.07,0.83,53.29,0,0,1.23,30.26,0.91,0,0,0,0,3.05,19.05,0,0,283,0,2.99,35.57,2116.81,4.58,28.74,3.55,0,0,13.47,0,0,0,15.57,237.95,0,0,23,0,6.26
 36-46,0,0,1.22,30.35,0,30.84,0,0,0.58,56.23,0,0,0,0.57,0,0,4.16,0,0,205.96,0,1.26,31.18,1191.15,1.82,5.16,2.45,0,0,5.6,0,2.21,0,0,199.43,0,0,7.92,0,0
 48-58,0,0,0,29.86,0.95,85.67,0,0,1.68,197.45,0,0,0.63,0,0,0,15.56,1.08,0,421.29,1.24,0.4,24,1063.39,0.4,5,1.36,0,0,3,0,0.48,0,0,148.72,0,0,1.72,0,4.82
 60-70,0,0,0,9.96,0,111.44,1.3,1.86,0.84,196.37,0,0,0,0,0,0,9.56,0,0,425.1,2.41,3.3,27.61,597.78,0,2.66,10.37,0,0,4.7,0,0,0,0,70.37,0,0.9,0.79,0.61,6.89
 72-82,0,0,0,5.71,0,32.58,2.27,0,0.9,46.34,0,0,0,0,0,0,0.69,0,3.31,247.14,0,2.27,11.45,229.73,0,2.91,4.25,0,2.24,1.53,0,0,0,0,33.17,0.69,1.41,6.09,0,0
 84-94,0,0,0,19.82,0,73.44,0.69,0,3.33,63.26,0,0,0,0,0,0,5.7,0,6.72,423.91,1.34,2.03,10.86,240.51,0,0,3.35,0,2.02,0.79,0,0,0,0,26.45,0.83,0.9,0,0.71,0
 96-106,0,0,0,18.93,0.8,47.8,0,0,7.09,87.82,1.38,0,1.6,1.44,0,2.8,13.66,5.38,0,384.71,0,3.48,26.12,237.36,0.58,12.21,9.54,0,0,2.21,0,0,0,0,23.32,0.61,0,2.03,1.26,0
108-118,0,0,0,6.37,1.28,30.29,0.49,1.09,4.02,48.12,0,0,0,0,0,0,5.39,0.81,0,209.09,0,1,10.51,231.83,0,0.88,0.65,0,0.86,0.52,0,0.52,0,0,9.07,0,0,1.24,1.59,0
120,0,0,0,13.42,0,99.43,1.25,0,5.21,170.95,0,0,0,0,1.05,0,3.4,4.16,0,293.56,0,0,4.45,492.53,0,0,3.23,0,0,2.62,0,0,0,0,7.24,0,0,0,0,0
