stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,9.59,28.79,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0
  5-6,0,27.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,20.68,0,0,8.49,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.45,0,0,0,4.52,0,0,0,0
 14-21,0,0,0,2.32,0.94,0,0,2.06,10.78,0,0,1.8,0,6.09,1.08,5.02,1.96
 24-34,0,0,0.8,0,0.8,0,4.36,1.38,3.08,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.51,0,1.59,0,10.85,0.56,0,0,0,0,0,0,0.77
 48-58,0,0,0,0,1.96,0,0,0,6.66,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.57,0,0.82,0,9.82,0,0,0,0,0,0,0,0
 72-82,0,0,1.33,0,4.26,0,0.92,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.6,1.97,0,0.76,1.2,0,3.8,0,0.93,0,0,0,0
 96-106,0,0,0,1.13,0,0,0,0,0.82,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.81,0,5.8,0,1.6,0,0,0,0,0,0,0,0
