stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,6.94,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62,0,0,18.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.03,0,0,0,0,0,6.34,0,0,0,0,0,0
 14-21,0,0,0.83,0.81,0,0,0,0,1.29,0,0,0,0,0,0,0,0,1.16,25.43,0,0,1.12,0,1.28,0.81,15.47,67.58,0.9,0,0,0
 24-34,0,1.38,0,0.69,7.52,0,0,0,0,0,0,0,0,0,0,0.74,0,5.15,28.14,10.1,0,0,2.32,0,0,1.64,19.67,9.07,0,0,0
 36-46,0,0,0,7.17,16.27,0,0,0,0,0,0,0,0,0,0,4.07,0,6.85,34.15,0,0,0,10.82,0,0,18.05,3.87,14.81,0,0,0
 48-58,0,0,0,6.89,28.21,0,0.43,4.45,0,0,0,0.91,0,0,2.54,3.92,1.17,0.95,35.11,0,0,0,0.97,0,0,0,0,4.48,0,0,0
 60-70,0,0.66,0,21.35,19.68,0,0,1.36,1.06,0,0,0,0,0,0,6,0,0.88,14.97,0,0,0,1.94,0,0,0,0,8.27,0,0,0
 72-82,0,0,0,4.01,19.36,0,0,1.47,0,0,0,0,0,0,0,2.58,0,8.15,24.38,0,4.02,0,0,0,0,0,0,0,1.81,0,0
 84-94,0,0,6.61,12.21,16.29,0,1.27,0.99,0,0,0,0,0,0,0,5.16,0,4.63,22.59,0,2.07,0,0.79,0,0,0,0,1.77,0,0,6.84
 96-106,0,2.44,0,24.19,41.33,0.91,0,1.54,0,0.62,0,0,0,0,0,6.45,0,7.5,45.15,0.77,0.63,0,3.51,0,0,5.77,0,0,2.53,0,0.8
108-118,0,0,1.09,24.2,31.31,1.41,2.2,4.18,3.25,0,0.44,0,0,0.7,0,14.84,0,12.36,20.59,0,0,0,0,0,0,1.16,0,1.75,0,1.59,0
120,0,0,0,17.62,22.7,0,1.88,13.44,0,0,0,0,1.84,0,0,0,0,1.56,18.82,0,0,0,2.51,0,0,0,0,0,0,0,0
