stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.28,0,0,0,0,0,15.22,0,0,0,0,0,0,0,0,0,4.71,0,0,0,7.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,14.88,0,0,11.87,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.32,1.31,74.59,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.93,0,0,1.99,7.06,0,0,0,0,0,4.68,1,2.71,12.96,0,0,0,0
 24-34,0,1.69,0,0,82.82,0,2.67,0,0,0,1.62,0,0,0,0,1.1,0,0,1.13,1.79,0,3.32,33.38,0,0,0,0,0,0,0,0.89,20.23,0,0,0,0
 36-46,0,0,0,0,46.15,0,10,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,1.15,45.92,0,0,0,0,1.87,0,0,0,7.6,0,2.04,0,0
 48-58,0,0,0,0,27.28,0,9.61,0.8,0,0,1.86,0,0,0,0,0,0,0,3.13,0,0,0,31.37,0,0,0,0,0,0,0,0,14.05,0,1.18,0,0
 60-70,0,0,0,0,61.69,0,26,0,0,0,1.14,0,0,0,0,0,0,0,0.75,0,0,0,26.62,0,0,0,0,0,0,0,0,6.69,0,1.83,0,0
 72-82,0,0.87,0,0.71,719.26,0,11.5,2.86,0,0.52,4.9,3.77,0,0,0.53,0,0,6.2,2.52,2.77,0,0,25.95,0,0,0,0,1.11,0,0,0,6.49,0,5.03,0,0
 84-94,0,0,0,0,606.21,0,23.33,0,0,0,0,1.87,0,0,2.39,0,0,0,0.98,1.59,0,0.87,30.52,0,1.79,0.71,0,0.58,0,0.76,0,16.82,0,8.81,0,8.23
 96-106,0,0,0,0.61,913.36,0,24.04,0,3.6,0,0,2.58,0,0,1.56,0,0.75,0,12.99,3.89,3.35,2.6,34.89,0.6,0.59,0,0,2.95,0,0,0,2.51,0,1.46,0,8.79
108-118,0,1.64,0,0.56,498.14,0,26,0,0.48,0,6.54,5.14,0,0,1.38,0.46,0,2.25,8.15,5.19,2.81,0,47.14,0,0,0,0,2.97,0,0,0,0,6.37,3.26,4.49,0
120,0,3.01,0,1.22,627.78,5.27,14.98,0,0,0,0,0,0,0,7.98,0,0,0,5.13,2.14,0,0,54.27,0,0,0,0,0,0,0,0,0,0,2.46,2.31,0
