stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,25.61,212.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.33,322.41,0,0,0,0,0,0,0,0,0,0,0,0,33.46,0,0,14.38,0,0
  7-9,0,6.37,3.51,0,0,7.01,0,0,0,0,0,0,0,0,64.56,0,45.34,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
 24-34,0,0,0,1.03,0,2.25,0,0,0,0,0,0,0,0,5,0,0,0,0,0
 36-46,0,0,0,0,0,1.25,0,0,1.46,0,0,0,0,1.19,0.76,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,3.69,0,0,0,0.77,0
 60-70,0,0,0,0,0,0,4.15,0,0,0,0,0.75,0,0,5.9,0,0,0,0,0
 72-82,0,0,0,0.81,0,3.43,0,0.74,0,0,0,0,0,0,2.66,0.56,0,0,0,0
 84-94,0,0,0,0,0,2.95,0,0,1.35,0.98,0,0,1.23,0.93,1.64,0,0,0,0,0
 96-106,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,1.95,0,0,1.73,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,1.61,0,6.77
