stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.35,46.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,109.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,0,0,0,0,0,0,0
  7-9,22.49,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,92.3,0,0,71.5,0,0,0,0,0,0
 10-12,0,0,0,11.38,0,9.23,0,0,0,0,0,0,0,0,0,0,0,84.01,34.95,0,0,73.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.24,0,0,0,0,0,21.2,0,0,0,0,1.37,5.82,0,0,0,0,0,2.46,2.34,0,0,0
 24-34,0,0,0,0,0,3.39,0,0,0,0.81,0,78.5,0,0,0,0,0.94,11.22,0,0,0,0,0.61,7.62,1.91,0,7.53,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,116.43,0,0,0,0,0.75,2.54,0,0,0,0,0,19.2,1.22,0,11.42,0
 48-58,0,0,0,0,0.41,0,0,3.09,0,0,0.58,86.49,0,0,0,0.85,0,11.77,1.2,0,0.5,0,0,6.19,3.13,0.42,10.59,0
 60-70,0,0,0,0,0,0,0,14.7,0,0.59,0,106.47,0,0,8.17,0,0.88,7.25,0,0,0,0,0,4.07,3.64,0,9.63,0
 72-82,0,0,0,0,0,4.1,0,3.13,1.65,2.99,0.89,178.08,0,1.36,1.05,2.23,0,10.89,0,0,0,0,5.27,3.14,3.86,0.91,16.8,1.96
 84-94,0,0,0,0,0,3.45,0,16.15,0,2.16,0.57,228.78,0,0,0,2.55,0,4.47,0,0,0.79,0,0,13.53,0,0,15.54,0
 96-106,0,0,5.6,0,4.71,2.64,1.52,2.99,0,0,2.09,322.33,0.58,0,4.52,6.17,8.28,30.43,0,1.93,0,0,0.68,7.1,9.71,0,23.73,0
108-118,0,0,0,0,4.36,6.63,0.47,3.1,0,1.08,2.8,236.79,0,0,3.55,2.45,0.92,34.57,0,0,0,0,0,4.92,0,0,20.61,0
120,0,0,0,0,2.86,19.85,0,0,0,3.18,0,321.1,0,0,4.64,8.13,0,8.95,0,0,0,0,0,13.1,0,0,14.22,0
