stage,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,0.98,1.28,1.9,1.02,1.79,0,8.55,0,0,0.81,0.87,0,0
 24-34,0,0,0,0,0,0.82,7.57,0,0.99,0,0,0.97,0
 36-46,0,0.62,0.68,0,0,0,5.57,0,0,0,0,0,0.72
 48-58,0,0,2.07,0,0.4,0,2.98,0,0,0,0,0.63,0
 60-70,0,0,1.04,1.48,0,0,1.33,0.93,0,0,0,0,0
 72-82,0,0.97,0.67,0,1.37,0,0,0,0,0,0,0,0
 84-94,0,0,1.44,0,0,0,2.5,0,0,0,0,0,0
 96-106,0,0,0,0.72,0,0,4.98,0,0,0,0,0,0
108-118,0,0,0,1.07,0,0.5,3.19,0,0,0,0,0,0
120,0,4.53,0,0,0,0,0,0,0,0,0,0,0
