stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,0,0,9.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.56,0,0,0,0,0,0,3.19,0,0,0,0,0,0,24.36,0,0,25.74,0,0,0,0,0,0,0
 14-21,1.36,0,4.12,0,2.32,0.91,0,0,0,1.53,2.35,0,0,0,0,4.35,0,15.93,8.43,2.62,0,0.84,8.69,25.12,6.34,108.41,10.6,0,0
 24-34,0,0,4.24,1.06,0,0.82,0,0,0.63,0,0.64,0,0.94,0,0,10.04,0,11.49,6.88,0,0,0,13.22,0,3.93,40.59,3.61,0.93,0
 36-46,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,8.54,0,3.1,6.74,0,0,0,23.16,0,0,0,1.14,0.82,0
 48-58,0,0,0,0,0,2.74,3.83,0.37,0.75,0,0,0,0,0,0,7.2,0,7.96,12.46,0.55,0,0,18.38,0,0,0,0,0,0
 60-70,0,0,0,0,1.34,9.27,0,0,0.67,2.33,1.86,0,0,0,3.22,6.18,0,5.23,5.95,8.52,0,0,14.7,0,2.72,0,0,0,0
 72-82,0,1.43,0,0,44.93,17.97,0,0,0,1.03,1.9,0,0,0,0,3.26,0.78,0,11.18,0,0,0,6.42,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.56,0,0.55,0.91,9.81,3.83,0,0,2.05,0,7.14,0,0,15.35,0.65,0,0,19.63,0,0,0,3.51,0,0
 96-106,0,0,0,0,25.92,0,0,0,0,1.51,5.99,0,0,1.31,3.27,3.41,0,3.97,21.39,0,0.79,0,17.49,0,0,0,0.68,0,0.61
108-118,0,0,0,0,9.51,4.71,0,0,0,1.42,8.25,0,0,0,0,5.21,0,2.56,11.83,0,0,0,9.2,0,0,0,0,0,0
120,0,0,0,0,5.05,19.24,0,0,0,0,2.85,0,0,0,0,2.16,0,2.58,15.69,0,0,0,1.57,0,0,0,2.39,0,0
