stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,periderm,pronephros,spinal.cord,vasculature
  3-4,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0
 14-21,0,2.81,1.04,0,0,0,0,0,0,0,0,1.95,0,0,0,1.16,0
 24-34,0,0,0,0.66,0,0,0,0,1.29,0,1.19,15.66,0,1.33,0,1.97,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,13.17,0,14.08,0,0,0
 48-58,0,0,0,0.7,0,0,0.58,0,2.25,0.94,0,21.72,0,0,0,2.19,0
 60-70,0,0,0,1.41,2.09,0,0,0,8.92,0.98,1.61,21.52,0,8.88,0,0,0
 72-82,0,0,0,0,0,1.31,2.02,0,0.58,0,0,0,0,0,0,1.85,0
 84-94,0,0,0,0.87,0,0,0,0.86,1.3,0,0,0,0,1.95,0,0,1.14
 96-106,0,0,0,0.74,0,0,0,0,0,0,0.79,6.94,0,2.79,0,0,0
108-118,0,0,0,0,0.72,0,1.39,0,0,0,0,1.58,0,1.91,0.99,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0
