stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  7-9,3.83,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,4.39,0,0,0,0,0,4.46,0,0,0,2.39,0,0,1.23
 48-58,0,0,0,20.16,0,0,0,0,0,10.13,0,0,0,0,0.77,0,0
 60-70,0,0,0,93.05,0,1.21,0,0,0,4.46,0,0,0,4.19,0,0,0
 72-82,0,0,0,116.7,1.11,0.59,0,0.72,0,3.8,0,0,0,0,1.13,0,0
 84-94,0,1.72,0,135.35,0,0,0,0,0,2.31,0,0,0,1.99,0,0.6,0
 96-106,0,0.72,0,102.05,0,0,0,0.68,0,3.56,0,0,0,3.91,0,1.56,0
108-118,0,0,7.98,136.19,0,5.87,0,0,7.77,6.85,0,0.76,0,8.55,0,0,0
120,0,20.61,0,221.9,0,0,0,0,0,5.9,2.97,0,0,13.83,0,0,0
