stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.13,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,2.26,11.56,0,0,0,0,0,11.86,0,1.07,8.43,0,0,0.91,0,0
 24-34,0,0,0.67,7.82,0.99,0,6,0,0.62,0,1.35,0.68,4.07,5.53,1.28,0,0,11.35,0,6.36,0.84,0,0.99,77.45,0,4.05,2.91,0,0,32.03,0,0,19.43,0,0,4.36,0,0.63
 36-46,0,0,0,2.15,0,0,2.28,0,2.61,0,9.03,0,9.47,3.91,0,0,1.09,0,0,4.15,0,0.67,0,96.54,3.79,6.84,0,0,0,69.88,0.59,0.56,37.38,0,0,6.19,0,0
 48-58,0,0,0,10.99,1.38,0,6.6,0,0.93,5.01,16.23,0,0.69,6.22,0.38,0,0,0,2,12.41,0,0.5,5.35,123.32,0,4.57,3.65,0,0,47.88,5.81,0,12.29,0,0,9.45,0,1.63
 60-70,0,0,0,6.82,5.79,0,22.96,0,0,0,20.1,0,0,6.62,0,0,0,0,0,14.43,0,3.8,0.67,140.46,10.7,2.72,5.81,0,0,56.57,0,0,22.55,0,0,12.31,2.09,0
 72-82,0,1.27,0,7.35,8,0,49.67,0,2.13,1.14,25.84,6.66,0,14.83,0.66,0,1.9,1.98,0,35.83,2.49,1.13,13.51,153.73,0,14.66,4.38,0,0,51.17,0,0,27.8,7.61,0,25.51,1.94,2.33
 84-94,0,0.56,0,13.46,25.09,0,31.3,0,8.63,1.49,18.6,2.79,0,18.57,2.31,0,1.34,0,0,24.44,6.61,0,2.16,134.48,0,7.35,5.33,0,0,148.95,0,0,1.52,1.77,3.16,39.12,0.68,0.55
 96-106,0,1.19,0,24.79,14.76,5.91,41.92,2.01,4.12,0,28.32,7.5,0,18.49,4.04,0,0.83,1.54,3.66,35.73,11.15,4.59,1.18,103.77,1.41,8.16,18.02,0,0,172.62,0,0,2.6,27.92,0.79,27.05,2.04,1.51
108-118,0,0.91,1.42,20.91,15.12,0,31.92,0,2.26,0,27.08,8.43,2.45,29.84,1.23,0,8.08,0,2.71,37.46,0.91,0,1.25,201.36,2.9,11.38,20.2,0,6.63,88.22,0.5,0,6.64,19.96,1.53,20.8,0.77,0.46
120,0,0,0,31.6,5.17,0,17.6,0,0,0,39.02,9.88,0,13.8,1.4,14.66,1.15,0,0,24.83,17.3,0,7.81,228.27,0,0,5.68,0,2.03,119.2,0,0,20.65,11.21,0,57.71,11.97,0
