stage,erythrocytes,eye,fast.muscle,glial,gut,liver,mesenchyme,muscle,neural,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.91,0,1.58,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0
 36-46,0,0,0,0,0,0,0,1.58,3.41,0,0,0,0,0,0,1.22
 48-58,0,0.46,0,0,0,0,0,0.61,10.94,0,0,0,0,0,0.77,0
 60-70,0,0,4.97,0,0,0,3.54,3.47,8.29,0,0,0,2.58,0,0,0
 72-82,1.11,4.42,7.18,0,0,0,0,5.71,5.49,0,0,0,0,0,1.2,0
 84-94,0,5.28,15.36,0,0,0,0,4.83,3.76,0,0,0,0.69,0,0,0
 96-106,0,3.84,16.91,1.49,0.66,0.7,1.79,2.86,4.72,0,3.82,0,0,0,0,0
108-118,0,3.35,17.94,0,0,0,0,0,8.37,0,0,0,0.41,0,0,0
120,0,4,38.01,0,0,0,3.67,2.15,0,1.65,0,0,0,0,0,0
