stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,0,3.79,17.91,0,0,0,0,0
 10-12,0,0,4.53,0,0,0,0,0,0,0,0,13.84,0,0,0,0,0,0
 14-21,0,2.77,0,0,0,0,0,0,0,0,1.1,6.07,0.88,0,0.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.84,0,0.71,5.41,0,1.75,0,0,0,0
 36-46,0,1,0,0,0,0,0,0,0.79,0,0,1.87,0,0,0,2.33,0,0
 48-58,0,0,0.88,0,0,0,0,0,2.28,0.66,0,1.83,0,0.45,0,0.84,0,0
 60-70,0,0,0.97,0,0,0,0,0,0,0,0,2.78,0,2.35,0,0,0,0
 72-82,0,0,4.44,0,1.21,0,0,0,4.74,0,1.23,3.79,0,1.07,0,1.4,0,0
 84-94,0,1.98,2.91,0,2.78,0,0,0,1.36,2.67,2.79,0,0,1.04,0,1.03,2.41,0
 96-106,0,0,0,0,0,0,0.64,0,2.43,0,0,3.25,0,0,0,0,1.23,0
108-118,0,3.2,1.62,0,2.01,1.08,0.94,0.41,0,0,0,1.04,0,3.49,0,0,0,2.85
120,0,2.98,10.34,3.26,0,0,0,0,14.85,0,0,0,0,2.17,0,10.59,8.27,0
