stage,axial,blastomeres,eye,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,40.76,0,0,0,0,0,0
  5-6,14.33,18.95,0,0,0,9.78,0,0
  7-9,0,0,0,28.08,0,0,0,0
 10-12,0,0,0,11.27,7.68,0,0,0
 14-21,0,0,0,0.85,0,0,1.09,0
 48-58,0,0,0,0,0,0,0,0.52
108-118,0,0,3.73,0,0,0,0,0
