stage,epidermis,erythrocytes,exocrine.pancreas,eye,gut,mesenchyme,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle
 14-21,0,1.06,0,0,0,0,0.88,0,0,0,0
 24-34,0,0,0,0,0,0,2.17,0,0,0,0
 36-46,0,17.02,0,0,0,0,2.57,0,0,0,0
 48-58,0,0,0,0,0,0,0.6,0,0,0,0
 60-70,0,0,0,0.75,0,10.56,5.47,1.22,0,0,0
 72-82,0,0,0,1.52,0,0.64,4.48,0,0,2.52,0
 84-94,0.71,0,0,0,0,2.77,1.03,0,0,0,1.74
 96-106,0.7,0,0,0.69,0,0,4.88,0,3.31,0,0.83
108-118,0,0,1.62,3.62,0,0,8.81,0,0,0.46,0
120,0,0,0,0,11.15,0,5.1,0,0,7.24,0
