stage,epidermis,eye,glial,mesenchyme,muscle,neural,pgc,slow.muscle,somites,spinal.cord
  7-9,0,0,0,0,0,0,7.7,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.75,0
 14-21,0,0,0,0,1.27,0,0,7.99,4.98,2.16
 24-34,0,0,0,0,1.35,3.33,0,0,3.51,0.66
 36-46,0,0.65,0,0,0,12.6,0,0,0,2.03
 48-58,0,0.4,0.54,0.84,0,1.91,0,0,0,0
 60-70,0,11.31,0,0,0,0.77,0,0,0,1.1
 72-82,0,15.3,0,0,0,3.14,0,0,0,1.38
 84-94,0,17.51,0,0,0,9.17,0,0,0,0
 96-106,0,25.82,3.13,2.53,0,0,0,0,0,0
108-118,0.72,34.45,0,0,0,0,0,0,0,0
120,0,36.6,0,0,0,0,0,0,0,0
