stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,0.91,0.99,5.72,0,2.2,0,0,0,0,0,0,1.05,0,0,2.72,43.12,0,2.05,0,0.8,2.56,5.03,3.8,17.15,0,0
 24-34,3.52,0,69.02,0,9,0,0,0.65,0.63,0,0,36.46,0,0,4.06,410.96,0.71,1.36,0.74,0,0,0,0,83.85,0,0
 36-46,10.96,0.67,153.63,0,28.24,0.72,0,0,0,0,0,14.48,0,0,1.2,345.47,3.37,7.09,0,0,4.77,0,0,56.01,0,0
 48-58,2.59,0,199.26,0.82,17.91,0,3.41,0,0,0,0,37.91,0,0,5.67,225.56,0,0,0.37,0,0.51,0,0,19.16,1.43,1.71
 60-70,6.32,0,174.68,3.81,7.87,2.27,0,0,0.67,3.94,0,50.73,1.41,0.66,2.87,174.79,0,0,0,0,0,0,0,5.11,0,0
 72-82,5.21,0,50.64,0,4.94,0,0.63,0,0,0,0,8.8,0,0,2,30.67,0,0,0.79,0,0.5,0,0,0.58,0,0
 84-94,0.78,2.86,23.14,0,3.05,0,0,1,0,0,0,7.28,0,0.85,0.87,18.29,0,0,1.52,0,0,0,0,0.95,0,0
 96-106,0.94,0,9.73,0,1.42,0,0,0,0,0,0,1.87,0,0,0,15.63,0,0,0,0,0,0,0,0,0.58,0
108-118,0,0.46,11.53,0,3.99,0,1.56,0,0,0,0.43,7.11,0,0,0,23.86,0,0,0,0,0,0,0,2.99,1.88,0
120,3.07,0,43.65,0,11.13,1.41,20.44,0,1.18,0,0,16.09,0,0,1.91,53.42,0,0,0,0,0,0,0,0,0,0
