stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,37.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,17.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.98,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,17.98,4.29,0,9.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.79,0,0,0,0,0,0,0,4.07,0,0,0,0,15.94,0,0,9.7,13.81,139.84,0,0,0,0,0,1.96,4.02,0,0,0
 24-34,0,0,0,1.34,79.57,0.87,3.8,0,0.91,0.97,0,0,7.38,0,0.83,0,0,85.71,0,0.82,19.06,182.86,160.3,1.36,0,0,0,0,0,127.51,0,0,0
 36-46,0,0,0,0,56.24,0,3.02,1.13,0,0.96,0,0,5.39,0,0,0,0,81.59,1.08,8.62,8.79,144.62,140.31,0,0,0,0,24.79,0,116.12,0.85,0.93,0
 48-58,0,0,0,0,20.35,0,8.87,7.09,0,2.7,4.91,0,1.16,0,0,0,0,65.54,0,32.33,13.64,79.27,166.5,0,0,0,0,2.35,0,33.5,3.77,0,0.78
 60-70,0,0,0,0,3.53,0,10.34,0,0,6.66,0,0,0,1.1,0,9.86,0,80.81,0,26.04,14.85,66.55,158.34,0,0,0,0,1.49,0,6.87,3.91,0,0
 72-82,0,0,0,0,2.91,0,12.6,0,0,2.18,0,0,0,0,0.63,0,0,111.35,0,19.95,17.56,51.55,92,0,0,1.55,0,0,0,2.01,5.28,0,5.74
 84-94,0,0,0,0,3.72,0.87,3.53,0,0,7.21,14.72,0,0,0,1.32,0,0.83,114.44,0.78,17.2,8.07,80.59,135.5,0,0,7.5,1.52,0,0,0,14.49,0,6.58
 96-106,0,0,0,0,0.71,0,9.49,0,0,1.39,15.72,0,0,0,7.19,8.31,0,81.57,0,17.24,13.51,33.55,73.02,0.57,0,0,0,0,0,0,0,5.89,0.69
108-118,0,0,2.71,0,0.87,0,8.86,0,0,2.81,0.52,0,0,0.98,3.03,0,0,109.67,0,9.62,3.36,81.44,97.18,0,0,2.96,0,0.69,0,14.76,0,0,1.48
120,1.12,0,1.22,0,1.58,2.24,5.99,0,0,1.85,0,0,3.15,0,10.1,0,0,96,0,1.83,2.02,33.38,164.18,0,0,7.24,0,0,0,0,7.86,0,0
