stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,5.34,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62,8.92,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.35,0,3.7,0,0,0,0,0,3.28,0,0,0,0,0,0,0,5.04,0,0,0.94,266.62,0,0.98,1.47,0,0,0.83,0,0,0,0.92,151.9,0,0,0,0,0
 24-34,0,0,2.85,0,1.38,0,18.48,0.72,0,0,4.14,0,0,0,0,0,0,1.42,8.74,0,0,2.54,1079.19,0,21.61,0,0,0,1.15,0,0,0,2.11,357.61,0,0,0,0,0
 36-46,0,0,2.57,0,11.17,0,155.43,0,0,0.75,40.59,0,2.17,2.49,0,0.77,1.46,0,10.36,0,0,3.64,2313.37,0,30.93,0.8,0,0,5.31,0,0,0,0,516.31,0,0,0,0,12.18
 48-58,0,0,0.98,0,16.76,1.86,475.54,3.61,0,0,119.71,0,7.48,3.66,0,0,7.23,0,21.44,0,1,3.95,2767.9,0,19.52,0.57,0,0,0.9,0,0,0.89,0,531.52,0,0,1.17,0,11.37
 60-70,0,0,1.8,0,7.17,0,1230.48,3.1,0,2.99,153.35,1.86,0.8,0,0,0,0,0,24.05,0.62,1.4,2.37,3334.49,0,19.21,0,0,0,3.96,0,0,0,0,491.82,0,1,0,2.76,20.54
 72-82,0,0,2.83,0,3.59,4.93,1337.03,0,0,0.94,192.8,0,0,0,0,0,6.2,0,44.83,0,1.85,4.17,2711.32,0,30.94,2.65,0,0,3.97,0,0,0,0,316.39,0,0.66,0,1.23,3.86
 84-94,0,0,1.99,0,11.61,0.59,807.02,0,0,1.03,135.33,0,1.56,0.62,2.03,0,0.83,5.22,35.93,0,5.57,0,1869.23,0.65,35.89,1.81,0,0,4.17,0,0,0,0,196.55,0,0,17.34,1.55,0
 96-106,0,0,0,0,14,0,764.76,0.57,0,2.38,145.95,0,0.83,0,0,0.84,15.56,0,33.22,0,0,0.6,1548.09,0,31.67,1.4,0,2.97,12.22,0,0,0,0,95.71,0.88,0,0,3.01,0
108-118,0,0,4.19,0.74,13.35,9.51,720.52,0.44,1.07,0,165.76,1.62,0,0,3.71,0,0,0,30.89,0,4.08,0.64,2045.16,0,26.35,5.42,0,0,3.3,0.79,1.48,0,0,61.23,0,0,3.31,4.76,0
120,0,0,0,0,7.26,2.1,503.88,1.99,0,0,205.46,1.3,1.79,0,4.53,0,0,0,14.62,2.98,0,6.45,2601.3,3.99,10.96,4.01,0,0,6.02,0,0,0,0,64.54,0,0,6.69,0,0
