stage,axial,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.45,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,93.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.04,0,3.3,0,15.47,0,0,0,0,0,0,0,0,0,93.04,0,40.5,0,0,0,0,0
 10-12,0,11.56,0,0,0,16.53,0,0,4.91,0,0,0,0,0,0,51.67,0,26.37,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,19.82,1.32,0,0,1.41,0,0,0,2.13,0,0,0
 24-34,0,0,0,0,0,2.09,1.83,0,0,2.16,0,59.85,0,0,0.9,15.49,0,0,0,56.29,1.7,0.66,0
 36-46,0,0,0,0,0,0.61,2.72,0,0,0,0,34.88,1.65,0,0,5.98,0,0,0,50.09,0,1.53,0
 48-58,0,0,0,0,0,8.13,1.21,0,0,7.92,0,8.04,1.16,0,0,6.19,0,0,0,22.85,0,1.62,0
 60-70,0,0,0,0,0,2.03,0,0,0,9.78,0,19.12,2.49,0,0,4.38,0,0,0,34.8,0,3,0
 72-82,0,0,0,0,0.65,10.92,2.81,0,0,0.81,0,13.81,8.9,0,0,7.09,0,0,0,63.67,0,0,0
 84-94,0,0,0,0,0,1.53,0,0.6,0,0,0,0,3.23,2.25,0,0,1.23,0,0,129.19,0,2.81,0
 96-106,0,0,0,0,0,7.97,0,3.33,0,0,0,5.12,2.81,0,0,17.16,0,0,2.09,130.53,0,0,0
108-118,0,0,0.57,0,0,5.43,0,0.47,0,0.44,0,6.33,0,0,0,11.22,0,0,0,135.88,0,0,1.64
120,0,0,0,0,1.64,23.06,0,5.18,0,0,3.46,0,0,0,4.6,51.02,0,0,0,60.47,0,0,0
