stage,epidermis,eye,glial,ionocyte,liver,neural,notochord,periderm,spinal.cord
  7-9,0,15.06,0,0,0,4.66,8.25,0,0
 10-12,0,0,0,0,0,51.36,7.85,0,0
 14-21,8.42,0,0,0,0,0.86,0,0,0
 24-34,0,0,0,0.64,0,0,0,0.8,0
 36-46,0,0,0,0,0,2.63,0,0,0.57
 48-58,0,0,1.15,0,0,2.23,0,0,0
 60-70,0,3.84,0,0,0,0.84,0,0,0
 72-82,0,2.36,0.74,0,0,6.05,0,0,0.92
108-118,0,0,0,0,8.07,1.65,0,0,0
120,0,0,0,0,1.1,5.06,0,0,0
