stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.05,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,1.06,0,1.91,0,0,4.04,0
 24-34,0,0.67,0,0,0,0,0,1.45,0,3.41,0,0,0,0,0,0,0,0,0,0.6,0,93.95,0
 36-46,0,0,0,0.56,5.66,0,0,0.73,0,5.01,0,2.1,0.55,0,0,0,0,0,0,2.57,0,130.07,0
 48-58,11.65,0,1.05,17.88,14.36,0,0,5.41,0,46.64,0,1.39,11.98,0.5,0,0,0,0,0,6.42,0.37,111.64,0
 60-70,1.75,2.33,0.92,10.13,21.37,2.49,0,11.07,0,67.81,0,1.26,4.7,0,0,0,0,0,0,2.9,0,59.96,0
 72-82,1.85,0,11.09,4.29,25.85,0.73,0,6.68,0,112.09,0,1.07,3.03,0,0.81,0,0,0,0,2.7,2.46,127.86,1.16
 84-94,0.9,0,1.72,4.13,23.17,0,0,1.27,0,99.3,2.85,1.63,0,0.99,0,0,18.98,0,0,3.7,0,106.74,0
 96-106,2.99,0,2.26,8.65,15.56,2.32,1.27,12.71,0.65,125.32,0,5.88,15.33,0,0,0,0,0,0,0.66,0,135.83,1.78
108-118,1.04,0,0.5,4.82,18.67,2.45,0,3.73,4.78,102.34,0,1.25,8.49,0,0,1.05,0,0.73,0,0,0.5,97.56,0.61
120,8.43,0,0,11.17,23.24,0,0,3.15,0,103.63,2.18,0,0,0,0,0,0,0,0,0,0,125.2,0
