stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,78.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.51,0,0,0,0,0,0,0,0,0
  5-6,24.75,50.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,3.53,0,0,4.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.71,0,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,7.84,0,16.67,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,4.27,0,0,1.61,0,3.22,0,0,6.29,8.49,0,0,0,0,0
 24-34,0,0,0.84,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,3.36,25.49,0,6.82,0,0,4.65,0.65,1.43,5.6,6.93,0,0,0.65,0,0
 36-46,0,0,0,0,0,0,0,0.84,0,0.77,0,0,0,0,0,0,1.37,0,0,4.96,43.09,0,1.01,0,0,16.03,13.05,4.38,0,12.42,0,0,0,0,3.36
 48-58,0,0,0,0,1.85,0,0,6.49,4.04,1.32,0,0.54,0,0,0,4.97,2.6,0.41,0,0.4,65.44,0,10.3,0.74,0,3.57,3.23,6.75,0,16.93,0,0,2.04,0,0
 60-70,0,0,0,0,4.38,0,0,12.32,1.95,2.9,0,0,0,0,0,0,2.8,0,0,0,130.78,0,9.32,0.63,0,2.11,0.68,6.94,0,23.44,0,0,1.05,0,0
 72-82,0,0,2.17,0,0,0,0,36.39,1.29,4.94,0.56,0,3.61,2.6,1.03,0,4.66,0,0,0.68,174.78,0,16.71,10.84,0,10.41,1.14,0.57,0,14.32,0,0,0,0,0
 84-94,0,0,6.98,0,2.45,0,2.96,44.81,0,0,5.46,0,5.63,0,0,0,9.63,0,1.43,0,150.97,0,12.59,2.2,0,9.06,3.67,2.1,0,5.42,2.41,0.64,0,0.57,1.57
 96-106,0,0,8.74,0,0,0,0,73.36,0,10.18,7.62,0,1.63,1.74,0,0,14.6,0,2.28,0,226.65,0,20.75,3.71,0,2.73,1.99,3.91,0,13.87,0,0.77,0,0,0
108-118,0,0,0,0,1.52,0.66,0.47,85.41,1.02,5.64,16.13,0,2.32,1.03,0,0,9.26,0,0,0.9,227.33,0,12.85,6.04,0,6.01,1.89,7.13,0,1.2,0,0,1.99,0.68,0
120,0,0,14.95,0,0,0,0,63.64,0,15.55,7.86,0,7.51,6.56,0,0,19.37,0,0,0,178.29,0,32.6,8.85,0,17.3,1.64,6.8,0,29.21,0,0,8.35,0,0
