stage,epidermis,eye,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1.23,3.39,0,0.9,4.46,1.82,0,0
 24-34,0,0.78,0,0,0,0,0,1.59,0,2.35,2.99,0,0,3.02,0,0,0
 36-46,0,0.8,0.64,0,0,0,0,0,0,0,2.66,0,0,2.29,0.68,0,0
 48-58,1.69,1.52,2.66,0,0,0,0.92,2.85,0,0,7.46,0,0,0,0,0,0.8
 60-70,0,2.66,1.36,0,0,0.7,0,1.2,0,0.83,5.56,0,0,0,0,0,0
 72-82,0,27.07,3.29,0,0,0,0,7.41,0,0,32.1,0,0,0,0,0,0
 84-94,3.73,3.45,0,0,0,0,4.51,2.01,0.8,0,14.29,0,0,0,5.19,0.62,0
 96-106,0,3.46,0,0,1.9,0,0,0.77,1.14,0,10.2,1.12,0,0,0,0,0
108-118,0,16.14,1.91,0.85,1.03,0,0.58,2.55,0,0,17.79,0,1.48,0,0,0,0
120,0,19.33,3.15,0,0,0,0,21.79,0,0,18.48,0,0,0,0,0,0
