stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,244.06,2533.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,284.84,3953.61,0,0,0,0,0,0,0,0,0,68.19,0,0,0,0,0,0,0,0,0,339.03,0,0,0,46.22,166.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.46,56.42,0,360.54,0,0,46.46,0,0,0,0,120.62,0,0,0,0,0,0,0,0,0,1780.81,27.26,0,0,332,4.29,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.25,0,27.16,0,0,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9,19.07,0,0,96.34,0,0,0,8.5,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,7.07,0.94,4.31,0,0,1.29,0,0,4.35,0,0,0,0,0,3.26,0,0,90.88,0,2.31,0,2.31,3.16,0,8.89,0,0,5.35,20.26,0,0,0,0,0
 24-34,0,0,0,0,2.09,0,9.55,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0.61,170.75,0,5.23,1.77,0,0.99,0,0,0,0,0,36.32,0,0,0.64,0,0
 36-46,0,0,0,0,1.82,1.1,47.85,0,0,3.01,0,0,0,0,0,0,0,0,6.48,0,1.04,476.24,0,5.01,1.35,0,0,0,0,0,0,0,22.75,0,0,0,0,0
 48-58,0,0,0,0,0,0.58,71.39,0,0,11.26,0,0,0,0,0,0,0,0,8.68,0,1.24,374.03,0.53,1.49,0,0,5.38,0,0,0,0,0,26.04,0,0,0,0,0
 60-70,0,0,0,0,3.12,0,22.04,0,1.28,3.04,0,0,0,0.79,0,2.01,0,0,6.08,0,0,77.73,0,0,1.23,0,7.93,0,0,0,0,0,1.25,0,1.84,0.58,0,0
 72-82,0,0,0,0,1.26,0.52,57.33,0,0.62,8.08,1.38,0,2.25,0,0,0,0,0.85,12.53,1.01,2.36,69.39,0,0.75,1.28,0,4.11,0,0,0,0,0,23.35,0,1.38,3.59,0,0
 84-94,0,0,0,0,4.22,13.15,36.73,0,0,6.32,0,2.11,6.31,2.02,0,0.81,0,0,14.96,0.94,3.1,37.91,0.69,0,0,0,21.88,0,0,0,0,0,0,0,0,2.22,0,0
 96-106,0,0,0,0,1.75,2.17,42.48,0.89,2.94,9.51,0,0,1.22,0,0,0,0.92,0,13.74,0,0,46.43,1.54,3.4,0,0,7.81,0,0,0,0,0,2.21,0,0,1.19,0,0
108-118,0,0,0,0,6.97,2.04,33.94,1.49,0.48,0,0.51,0,2.2,3.16,0,2.96,0,0,16.09,1.9,1.63,71.56,2.36,5.75,1.69,0,30.6,0,0,0,0.41,0,0,0.51,1.18,6.15,2.72,2.27
120,0,0,0,0,3.05,1.84,19.74,0,0,19.11,2.67,0,0,0,1.17,0,0,0,15.37,0,0,60.02,0,3,0,0,12.18,0,0,1.79,0,0,0,0,0,1.09,0,0
