stage,endocrine.pancreas,eye,glial,spinal.cord
 24-34,0,0,0.78,0.89
 48-58,0,0,0,0.39
 60-70,0,0,0,8.6
 72-82,0,1.3,9.06,2.22
 84-94,1.46,0,0,0
 96-106,0,0,6.09,0
108-118,0,0,0.44,0
