stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.1,430.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.97,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.85,13.39,0,38,0,0,0,61.28,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,509.97,18.24,0,0,178.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.45,0,35.32,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.89,9.93,0,0,170.62,0,0,3.57,77.88,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,1.33,33.01,12.47,0,23.29,0,0,2.92,0,0,1.1,0,0,0,0,0,0,23.97,0,0,18.9,238,3.73,1.77,3.03,4.89,0,3.93,50.66,0.98,1.86,75.78,62.3,0,0,2.8,0,0
 24-34,0,0,0.75,0,8.71,2.96,0,36.81,1.07,0,9.55,1.41,0,3.72,1.62,5.61,0,2.22,0,3.28,41.57,0,0,9.45,203.74,0,0.65,2.22,0,0,4.16,0,0.75,0,6.53,53.42,0,0,5.44,0,0
 36-46,0,0,0,0,3.05,0,0,38.46,0,0,1.89,2.17,0,1.45,0,2.37,3.08,0.75,0,0,19.97,0,0,9.71,148.12,0.69,0.79,0,0,0,14.56,0,0,0,0,33.16,0,0,1.43,0,0.65
 48-58,0,0,0,0,11.27,0,0,75.92,0,0,13.05,0.69,0,1.15,0,0,0.46,1.43,1.92,0,20.12,0,0.75,8.23,175.07,0,0.41,2.05,0,0,0,0,0.52,3.17,0,30.23,0,0,6.85,0,0
 60-70,0,0,0,0,3.68,0,0,83.77,3.02,0,9.4,1.57,0,0,1.14,0,1.16,0.88,0,0,24.16,0,0,2.21,128.45,4.83,2.45,2.55,0,0,4.7,0,2.82,0,0,15.58,0,0.82,0,0,0
 72-82,0,0,0,0,5.37,4.53,0,48.77,0,2.33,15.41,1.29,0,0,2.29,0.52,0,2.35,0.8,0,43.96,0.56,1.76,7.23,105.99,0.72,1.09,0,0,0,6.48,0,0.65,0,0,17.42,0,0,1.4,0,0
 84-94,0,0,0.84,0,8.33,1.05,0,69.18,0.66,9.05,25.49,4.61,0.77,0.85,2.61,2.95,0,1.11,2.58,0,39.11,1.13,0.92,2.68,111.57,1.52,0,2.97,0,0,19.98,0,0,0,0,11.55,0,0.68,10.32,2.11,0
 96-106,0,0,2.7,0,5.96,0,0,53.84,1.74,1.24,23.55,6.14,0,0,7.39,2.43,0,1.86,0,0,71.66,2.08,0.88,14.13,150.22,0.68,0,3.95,0,0,17.74,0,0,0,0,9.38,0,2.45,2.79,0.89,1.58
108-118,0,0,0,0,15.55,13.14,1.56,41.71,3.3,5.19,30.64,1.47,0,1.62,1.71,2.11,0.41,1.26,2.73,4.38,65.64,0,3.44,6.74,156.64,0.85,3.7,2.56,0,1.57,13.45,0,1.39,0.51,0,10.51,0.41,0,4.79,2.56,3.34
120,0,0,3.29,0,26.53,6.99,0,65.84,5.85,1.58,65.18,8.19,0,1.85,5.64,2.78,0,3.15,5.76,0,63.16,0,4.01,8.93,124.13,1.28,0,0,0,0,10.04,0,0,0,0,5.77,0,3.14,38.28,8.42,0
