stage,blastomeres,endocrine.pancreas,endoderm,epidermis,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,vasculature
  3-4,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,5.87,0,9.63,0,0
 14-21,0,1.32,1.76,1.67,0,2.1,0,0,0,0,0,0,0,2,1.83,0
 24-34,0,2.02,1.18,0,0,0,0,0,0,1.3,6.26,0,0,0,1.32,2.41
 36-46,0,0,0,0,0,0.56,0,0,1,3.64,0,1.35,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.04,1.81,0,1.16,0,0,0,0
 60-70,0,0,0,0.9,0,0,0,0.77,0,6.06,0,4.45,0,0,0,0
 72-82,0,2.61,0.63,0,0,1.1,1.59,0.55,0,0.74,0,0.85,0,0,0,0
 84-94,0,0.66,0,0,0,2.73,0.76,10.63,0,0,0,0,0,0,0,0
 96-106,0,4.37,1.08,2.28,1.89,2.35,3.03,1.9,3.65,3.06,0,0,0,0,0,0
108-118,0,0,2.1,1.21,0.85,0.59,4.22,0,2.17,2.62,0,4.62,0.5,0,0,0
120,0,3.01,6.95,0,0,10.97,0,0,6.57,0,0,0,0,0,0,0
