stage,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 14-21,0.95,0.99,0,1.67,0,0,0,1.9,0,20.65,0,1.54,0,0,3.07,1.73,4.22,0
 24-34,0,5.45,0,0.6,0,0,1.07,3.27,3.28,53.15,0,0,3.89,5.84,0,0,9.56,0
 36-46,0,1.08,0,4.01,1.42,0,0,3.47,0,40.84,0,0,0,12.13,0,0,8.26,0.64
 48-58,0,2.64,0,11.94,1.18,0,0,2.09,0,33.52,0.56,0,0,0,0,0,0.45,0
 60-70,0,0,0,11.6,0.67,0,0,6.15,0,30.15,0,0,0,0,0,0,1.39,0
 72-82,0,1.23,0.52,11.6,2.52,0,0,3.51,0,17.98,0,0,0,1.53,0,0,3.39,4.47
 84-94,0,0,0,7.76,6.84,0,0,0,0,14.45,2.49,0,0,0,0,0,2.18,0
 96-106,0,4,1.6,20.08,0,0,0,0,0,6.1,0,0.68,0,0,0,0,0,0
108-118,0,2.63,0,3.33,0.75,0.83,0,1.29,0,15.05,0,0,0,0,0,0,0,0
120,0,6.74,0,6.68,3.18,0,0,0,8.24,9.22,0,0,0,0,0,0,0,0
