stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,6.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,4.96,0,0,0
 24-34,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,3.52,40.72,0,0,0,0.72,0.66,28.57,0.82,0,0
 36-46,0,0,0.94,0,7.49,0,0,0,1.58,0,0,0,0,0,0,6.98,2.43,166.81,0,0,0,0,0,46.73,0,0,0
 48-58,0,0,0,0,39.44,0,0,2.05,0,0,0,0,0,0,0,7.65,9.04,358.5,0,0,0,0,0,45.89,0,0,0
 60-70,0,0,0,0,297.16,0,0,1.16,0,0,0,3.9,0.7,0,0,30.41,4.69,728.24,5.22,1.31,0,0,0,71.46,0,0,4.77
 72-82,0,0,9.05,0,581.35,0,0.95,14.95,2.79,0,2.21,0,1.27,1.05,0,27.89,7.54,956.79,0,0,0,2.01,0,45.4,0,0.89,0
 84-94,0,0,2.95,0,363.23,0,0,12.23,0,1.94,0,0,3.19,0,5.22,21.32,10.09,552,0,1.22,0,0.87,0,27.14,0,0,0
 96-106,0,0,10.04,9.9,327.79,0,0,17.8,0,0,0,0,0.59,0,0,16.1,0,499.38,0,2.15,0,0,0,26.53,0.81,0.96,0
108-118,0,0.74,4.86,0.9,269.99,0,1.34,19.71,0.52,0,0,0.79,1.49,0,0,19.03,2.04,491.59,0,4.69,0,1.96,0,1.59,0.99,2.62,0
120,0,0,0,0,371.34,0,0,21.6,0,0,0,0,1.11,0,0,10.1,1.56,813.04,3.25,1.76,0,0,0,84.9,0,0,0
