stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4.39,3.06,8.07,4.72,0,7.14,0,0,0,2.43,0,0,0,0.95,0,0,3.13,0,6.1,0,0,5.33,383.58,0,9.5,0.87,2.45,0,0,0.9,17.63,0.82,0,29.53,215.5,0,0,0,0,0
 24-34,1.4,0,9.57,0.66,0,27.79,0,1.49,0,24.85,0,0,0,0,0,0.75,3.36,0,17.31,0,0,10.43,2489.08,1.05,94.52,2.14,0,0,9.86,0,0,1.04,0.78,3.12,577.26,0,0,0.61,0,0
 36-46,3.55,0,7.1,0,0,287.43,1.55,2.18,0.63,89.85,0,0,0.72,1.36,0,0,0,9.88,26.77,0.63,0,14.41,4086.29,0,73.43,2.15,0,0,11.11,0,0,0,0,0.69,831.16,0,0,12.07,0,0
 48-58,0.87,0,37.43,2.35,0,844.39,4.08,1.35,1.69,265.25,0,0,4.27,0,5.31,0,0.39,7.11,32.56,1.86,1.41,6.67,4990.74,0,54.03,0,0,0.56,12.62,0,0,0.46,0,0,956.11,0,0,3.88,0,4.1
 60-70,1.93,0,35.51,3.14,0,1628.77,8.33,1.4,5.6,293.99,5.89,5.1,2.63,4.8,7.67,2.13,0,0,31.34,0,0,1.91,4699.94,0,38.55,19.93,0,1.1,10.94,0,0,0.59,0,0,708.39,0,0,0,0,7.16
 72-82,10.97,0,14.75,12.19,0,2104.59,0,4.8,1.07,313.16,6.95,0.58,2.32,0,0,0,5.32,0,62.79,0,8.54,1.5,4790.11,0,64.2,4.51,0,0,6.72,0,0,0.73,0,0,528.33,2.16,1.73,13.48,2.26,11.19
 84-94,5.04,0,24.23,13.46,0.87,1503.29,0,11.4,6.84,207.2,3.46,0.82,0,0.67,4.68,0,0.57,0,70.7,0,0,7.12,3045.08,2.22,43.38,5,0,0,20.73,0,0,0.6,0,0,315.83,1.06,0,5.99,0,0
 96-106,3.83,0,12.06,4.81,0.71,1342.79,4.65,1.33,8.1,247.64,3.06,1.33,6.22,0,8.93,3.91,3.28,0,46.46,2.17,0,5.8,2507.43,1.05,95.57,3.19,0,0.81,21.27,0,0,0,0.7,0,139.34,0,2.06,7.21,2.5,16.15
108-118,16.8,0.59,21.97,12.04,1.08,969.26,1.17,0,1.26,264.68,2.29,1.61,3.02,1.22,0.63,0,2.54,4,32.13,3.15,4.79,6.02,3003.08,0,60.96,1.86,0,1.22,32.21,0,0,0,0.49,0,108.87,1.81,1.46,2.02,6.34,0
120,2.96,0,43.19,4.28,0,1063.14,6.81,3.26,5.01,364.05,11.03,9.97,1.01,1.65,0,1.54,23.72,3.89,93.76,0,0,7.31,5353.46,3.29,73.09,7,0,0,12.8,0,0,3.15,0,0,118.06,0,1.54,1.51,4.52,0
