stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,heart,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,pronephros,slow.muscle,spinal.cord
  3-4,0,40.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,6.41,0,0,0,0,0,0,0,0,29.01,0,0,0,0,0,0,0
  7-9,7.01,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0
 10-12,0,0,0,4.05,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.89,0,0.93,0.8,2.01,6.1,0,0,0.9,0.9,0,0
 24-34,0,0,0,0,0,0,3.91,1.29,2.34,0,0,0,1.68,0,0,2.17,0,0.61
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,1.02
 48-58,0,0,1.41,0,0,0.9,0,0,0,0,11.64,0,0,0,0,0,1.75,2.58
 60-70,0,0,0,0.58,0,7.11,0,3.46,0,0,1.94,0,0,0,0,0,1.46,4.61
 72-82,0,0,0,1.34,0,0,0,0,0.67,0,1.82,0,0,0,0,0,5.7,4.52
 84-94,0,0,0,0,1.58,0,0,0,0,0,1.63,0,0.9,0,0,0,0.59,0
 96-106,0,0,0,2.49,1.19,0,0,0,2.75,0,1,0,0,0,0,0,5.33,0
108-118,0,0,1.18,1.31,2.38,0,0,0,0,0,14.58,0,0.6,0,0,0,1.78,3.83
120,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0
